Tag	C1	C2	P.value
TENM1	22	9	0.0396744141335035
COL7A1	23	6	0.00326467458362352
PDZD2	23	9	0.0269540587306384
ZNF462	23	7	0.00723381281988039
ATP10A	24	7	0.00456388078495805
CDH1	10	23	0.00609271831661178
COL6A6	21	6	0.00852043611955993
SRCAP	22	8	0.0220974325800432
CNTN6	24	10	0.045329746949721
SCN9A	22	8	0.0220974325800432
TENM3	22	9	0.0396744141335035
VPS13A	20	6	0.0135493354165424
ANK1	19	7	0.0409172548890761
ANKRD11	21	7	0.0176113507235661
BIRC6	22	6	0.00530067893879917
KMT2A	24	8	0.00947930352018026
TENM4	23	8	0.0145527133964729
ZNF536	23	8	0.0145527133964729
CNTLN	22	9	0.0396744141335035
TNXB	20	8	0.0491574848695724
TRIO	22	6	0.00530067893879917
CACNA1D	17	5	0.0257169080652934
HECTD4	21	7	0.0176113507235661
SLITRK1	21	6	0.00852043611955993
ZNF292	19	5	0.00996520734043353
ACVR2A	24	7	0.00456388078495805
AFF2	20	8	0.0491574848695724
CHD6	25	3	4.00813429213122e-05
FRAS1	24	6	0.00199187936769395
ITPR3	23	4	0.000460033637183219
KAT6A	19	6	0.0212983698125885
NRXN3	25	2	8.66541868639635e-06
PCNT	20	3	0.000802096105620409
RIF1	17	5	0.0257169080652934
SLITRK5	24	8	0.00947930352018026
CDH8	21	7	0.0176113507235661
DCHS1	21	3	0.000446486894391047
DMXL2	16	4	0.0190180616100722
GOLGB1	22	2	6.06127973563559e-05
PAPPA2	20	7	0.0270126460210825
PCDHB7	18	3	0.00252638779764131
SCN5A	20	6	0.0135493354165424
TRIOBP	19	6	0.0212983698125885
VWF	19	6	0.0212983698125885
EPHA5	20	7	0.0270126460210825
FBN3	20	6	0.0135493354165424
FSIP2	21	6	0.00852043611955993
HECW1	21	7	0.0176113507235661
HIVEP1	19	2	0.000403998366336245
HUWE1	24	4	0.000261085955433179
KALRN	20	4	0.00240198891491247
MYH2	18	6	0.0330634496325858
NPAP1	18	6	0.0330634496325858
PXDNL	20	7	0.0270126460210825
RGS12	21	8	0.0331641664600676
ADAMTS5	23	4	0.000460033637183219
ADGRG4	21	6	0.00852043611955993
CTNNB1	19	5	0.00996520734043353
LAMA3	17	3	0.00442265333227601
MKI67	17	4	0.0115322325245767
MYH7	20	6	0.0135493354165424
NFASC	22	4	0.00080460788262079
ZDBF2	19	4	0.00409438051299626
ZNF236	18	6	0.0330634496325858
ASTN2	20	4	0.00240198891491247
COL22A1	20	6	0.0135493354165424
EP400	19	6	0.0212983698125885
EPHA2	21	5	0.00368945404120608
KRAS	21	7	0.0176113507235661
NBEAL2	20	4	0.00240198891491247
SORL1	17	5	0.0257169080652934
TDRD6	19	6	0.0212983698125885
CHD5	17	5	0.0257169080652934
EIF5B	19	3	0.00142964463320643
GCN1L1	17	5	0.0257169080652934
HDLBP	18	6	0.0330634496325858
HYDIN	18	4	0.00690932287535945
JARID2	19	3	0.00142964463320643
LARP4B	20	4	0.00240198891491247
MXRA5	20	3	0.000802096105620409
NRXN2	17	5	0.0257169080652934
NUMA1	18	4	0.00690932287535945
PTPN13	20	4	0.00240198891491247
ROS1	19	3	0.00142964463320643
SPECC1	21	4	0.00139615652602758
AKAP13	19	4	0.00409438051299626
CACNA1B	18	4	0.00690932287535945
CACNA2D3	19	6	0.0212983698125885
JMJD1C	16	5	0.0405090191250066
KIDINS220	17	3	0.00442265333227601
MYH11	16	4	0.0190180616100722
NAV1	16	5	0.0405090191250066
TNN	18	6	0.0330634496325858
ABCA10	18	5	0.0161077477186526
ADGRL2	15	4	0.0309509323261073
ARFGEF2	19	4	0.00409438051299626
CDHR2	15	4	0.0309509323261073
GREB1	18	4	0.00690932287535945
ITPR1	18	5	0.0161077477186526
KIF21A	16	5	0.0405090191250066
NUP210	15	4	0.0309509323261073
PCDH20	19	5	0.00996520734043353
PCDHA8	19	6	0.0212983698125885
SCN1A	18	6	0.0330634496325858
TEP1	14	4	0.049640993308904
AGAP1	16	5	0.0405090191250066
CACNA1A	16	5	0.0405090191250066
COL14A1	16	5	0.0405090191250066
DCAF12L2	18	4	0.00690932287535945
HCN1	17	4	0.0115322325245767
ITIH5	17	4	0.0115322325245767
KIAA1217	16	4	0.0190180616100722
MAP1A	14	4	0.049640993308904
MTOR	18	2	0.000750400270947622
NCOR1	17	5	0.0257169080652934
PLEKHA6	16	4	0.0190180616100722
PLXNB1	15	3	0.0131242486452044
SCAF4	17	5	0.0257169080652934
ABCB4	18	4	0.00690932287535945
ACTN2	16	5	0.0405090191250066
ALPK2	16	4	0.0190180616100722
BCL9L	15	4	0.0309509323261073
CARD11	18	4	0.00690932287535945
DNAJC13	16	3	0.00766240647324694
DOPEY2	18	3	0.00252638779764131
FHOD3	17	4	0.0115322325245767
LAMB2	15	4	0.0309509323261073
MRC1	14	4	0.049640993308904
NAV2	17	4	0.0115322325245767
NOTCH2	15	3	0.0131242486452044
NUP98	18	3	0.00252638779764131
PBRM1	16	4	0.0190180616100722
RAI1	20	1	4.32517252785608e-05
SLX4	15	4	0.0309509323261073
SUPT6H	16	4	0.0190180616100722
CCDC88A	14	3	0.0221955827048484
CDH18	16	5	0.0405090191250066
DIP2C	18	3	0.00252638779764131
FSTL5	18	1	8.34036035422993e-05
KIAA1549	15	4	0.0309509323261073
LRRN3	16	3	0.00766240647324694
MAGI2	16	5	0.0405090191250066
MDGA2	15	4	0.0309509323261073
MROH2B	15	4	0.0309509323261073
MYH13	15	4	0.0309509323261073
MYLK	15	4	0.0309509323261073
NTNG1	17	4	0.0115322325245767
PRRC2A	14	4	0.049640993308904
SLIT3	17	3	0.00442265333227601
SZT2	15	3	0.0131242486452044
WDR49	16	5	0.0405090191250066
ZNF831	17	4	0.0115322325245767
ADGRB1	17	3	0.00442265333227601
ARHGEF17	14	3	0.0221955827048484
ATP4A	15	2	0.00251768405462451
ATRX	16	4	0.0190180616100722
CNTNAP1	16	5	0.0405090191250066
DLGAP2	14	4	0.049640993308904
HDAC4	16	3	0.00766240647324694
IMPG2	16	4	0.0190180616100722
KSR2	15	4	0.0309509323261073
MBD6	14	4	0.049640993308904
POGZ	15	4	0.0309509323261073
SPAG17	16	3	0.00766240647324694
SPHKAP	15	4	0.0309509323261073
SPTBN1	14	2	0.00444685759158282
TNS3	14	4	0.049640993308904
TP53BP1	14	3	0.0221955827048484
TSHZ2	16	5	0.0405090191250066
YLPM1	15	3	0.0131242486452044
ZNFX1	15	4	0.0309509323261073
ABCA1	13	3	0.0223045246250966
ACIN1	15	4	0.0309509323261073
AFF3	15	4	0.0309509323261073
BCL9	14	4	0.049640993308904
CACNA1G	14	3	0.0221955827048484
CAMSAP2	14	4	0.049640993308904
CDH6	15	2	0.00251768405462451
CNTN5	16	3	0.00766240647324694
COL5A2	15	4	0.0309509323261073
DLEC1	12	3	0.0365789433929213
GOLGA3	14	4	0.049640993308904
MMP16	15	3	0.0131242486452044
PAX1	14	4	0.049640993308904
PCDHA7	17	2	0.00138317776716507
PIK3CG	14	3	0.0221955827048484
PTPRF	13	3	0.0223045246250966
SEMA6D	15	4	0.0309509323261073
TRPM6	14	4	0.049640993308904
VWA8	12	3	0.0365789433929213
XIRP1	13	3	0.0223045246250966
ZC3H18	15	4	0.0309509323261073
ZNF407	15	3	0.0131242486452044
AGRN	13	3	0.0223045246250966
ALPK3	12	2	0.0135519248068776
ANKRD12	14	2	0.00444685759158282
BPTF	15	3	0.0131242486452044
CACNA1S	13	3	0.0223045246250966
CILP2	15	3	0.0131242486452044
FBXL7	16	2	0.00141553260565582
FNDC1	13	3	0.0223045246250966
IRS1	14	3	0.0221955827048484
KIAA0195	14	2	0.00444685759158282
LRRC4B	15	3	0.0131242486452044
NLRP3	12	3	0.0365789433929213
NSD1	15	2	0.00251768405462451
PCDHB12	14	4	0.049640993308904
PHLDB1	12	3	0.0365789433929213
PPL	14	2	0.00444685759158282
SV2A	17	1	0.000157855001496846
TRPM1	14	3	0.0221955827048484
WHSC1	13	3	0.0223045246250966
ZMYM4	13	3	0.0223045246250966
ZNF638	14	3	0.0221955827048484
ZNF658	15	4	0.0309509323261073
AMOTL2	14	3	0.0221955827048484
ARHGAP35	12	2	0.0135519248068776
ASXL1	13	3	0.0223045246250966
CASR	14	3	0.0221955827048484
CCDC7	12	3	0.0365789433929213
CDH20	13	3	0.0223045246250966
COL6A2	13	2	0.00779517016036664
EVPL	13	3	0.0223045246250966
GRIA2	13	3	0.0223045246250966
HECTD1	14	1	0.00104479291441673
KCNA4	14	3	0.0221955827048484
KCNH1	14	3	0.0221955827048484
KCNK9	14	3	0.0221955827048484
KIAA1024	13	2	0.00779517016036664
KIAA1549L	15	1	0.000558783674821571
LAMB3	12	3	0.0365789433929213
LCT	14	3	0.0221955827048484
MPRIP	13	2	0.00779517016036664
MYH6	14	2	0.00444685759158282
NUP188	14	1	0.00104479291441673
PCDHGB1	13	3	0.0223045246250966
PCDHGB3	15	3	0.0131242486452044
PCNX	12	2	0.0135519248068776
PRDM16	13	1	0.00194484321387671
SBNO1	13	3	0.0223045246250966
SPTBN4	14	4	0.049640993308904
VARS	12	3	0.0365789433929213
WDR62	15	3	0.0131242486452044
ATRNL1	14	3	0.0221955827048484
CAMTA2	13	3	0.0223045246250966
CHD3	12	3	0.0365789433929213
CIITA	10	2	0.0397951015857214
CR2	14	3	0.0221955827048484
DENND4B	12	3	0.0365789433929213
DISP2	10	2	0.0397951015857214
EPHA4	13	3	0.0223045246250966
FAM193A	13	3	0.0223045246250966
GABRA1	11	2	0.023343985748786
GLI2	13	3	0.0223045246250966
IGHM	12	2	0.0135519248068776
KIF27	12	1	0.00360299772716255
LINGO2	13	3	0.0223045246250966
LRFN3	14	2	0.00444685759158282
MED13	12	2	0.0135519248068776
PASK	13	2	0.00779517016036664
PIK3C2A	12	1	0.00360299772716255
PLCG2	12	3	0.0365789433929213
PTPN23	12	3	0.0365789433929213
SETD2	11	2	0.023343985748786
SHPRH	14	3	0.0221955827048484
SLC9A4	12	3	0.0365789433929213
TRERF1	12	3	0.0365789433929213
TTLL7	13	2	0.00779517016036664
USP31	13	3	0.0223045246250966
ZNF609	13	1	0.00194484321387671
ADGRL1	12	2	0.0135519248068776
AEBP1	14	1	0.00104479291441673
ALK	13	2	0.00779517016036664
AR	13	3	0.0223045246250966
ARHGAP31	11	1	0.00664007280741231
BRINP2	11	2	0.023343985748786
CD93	14	2	0.00444685759158282
CENPE	10	1	0.0121659109371305
CEP170	13	2	0.00779517016036664
CLCN3	14	2	0.00444685759158282
DENND3	13	3	0.0223045246250966
EBF3	14	1	0.00104479291441673
EML1	13	3	0.0223045246250966
FAM184A	14	1	0.00104479291441673
GRIK2	12	3	0.0365789433929213
IFT122	11	2	0.023343985748786
JAG1	14	1	0.00104479291441673
MLLT4	12	3	0.0365789433929213
NWD1	14	1	0.00104479291441673
OGDHL	12	2	0.0135519248068776
PCDH8	13	1	0.00194484321387671
PCDHGA5	12	3	0.0365789433929213
PEAK1	12	3	0.0365789433929213
PKDREJ	12	3	0.0365789433929213
PLCE1	13	1	0.00194484321387671
POLR3A	11	2	0.023343985748786
PRX	15	1	0.000558783674821571
PTPRU	12	3	0.0365789433929213
RAD54L2	11	2	0.023343985748786
RALGAPA1	12	3	0.0365789433929213
RASGRF1	11	2	0.023343985748786
RBM19	12	1	0.00360299772716255
RBM27	13	2	0.00779517016036664
SHANK2	11	2	0.023343985748786
SLC4A11	13	2	0.00779517016036664
TAF1	10	2	0.0397951015857214
TLE4	15	1	0.000558783674821571
WFIKKN2	13	3	0.0223045246250966
WNK4	12	3	0.0365789433929213
ZNF366	12	3	0.0365789433929213
ABCA5	12	1	0.00360299772716255
AKAP11	12	2	0.0135519248068776
ATP7B	11	1	0.00664007280741231
BTAF1	13	2	0.00779517016036664
C2orf71	13	1	0.00194484321387671
CASC5	10	2	0.0397951015857214
CCDC108	12	2	0.0135519248068776
CDK13	11	2	0.023343985748786
CEP164	10	2	0.0397951015857214
CHL1	12	3	0.0365789433929213
CNTRL	11	2	0.023343985748786
COL8A1	14	0	0.000131281085027482
CPED1	14	1	0.00104479291441673
CSF1R	12	2	0.0135519248068776
DOCK6	11	2	0.023343985748786
DOCK8	12	0	0.000517911736324636
EDRF1	12	2	0.0135519248068776
ERCC6	12	2	0.0135519248068776
FILIP1	12	3	0.0365789433929213
GAPVD1	11	1	0.00664007280741231
HELZ	10	2	0.0397951015857214
HK1	12	3	0.0365789433929213
IFT172	11	1	0.00664007280741231
INADL	10	2	0.0397951015857214
IRF2	10	2	0.0397951015857214
ITGA7	10	2	0.0397951015857214
ITGAL	14	1	0.00104479291441673
MADD	12	3	0.0365789433929213
MCC	11	2	0.023343985748786
MYO5C	12	2	0.0135519248068776
PIWIL2	11	2	0.023343985748786
PLCB4	10	1	0.0121659109371305
PLXNA3	12	3	0.0365789433929213
PRF1	12	3	0.0365789433929213
PSD	13	1	0.00194484321387671
SLC7A14	12	1	0.00360299772716255
TET3	12	2	0.0135519248068776
UACA	12	2	0.0135519248068776
WDR72	12	3	0.0365789433929213
ZNF569	11	2	0.023343985748786
ZNF624	12	1	0.00360299772716255
ACTL7A	10	2	0.0397951015857214
ADD2	10	2	0.0397951015857214
ADNP2	10	2	0.0397951015857214
ASCC2	11	2	0.023343985748786
ATP8B1	13	1	0.00194484321387671
C6orf118	12	2	0.0135519248068776
CADPS	11	2	0.023343985748786
CLSTN2	12	1	0.00360299772716255
CNGB3	12	0	0.000517911736324636
COL16A1	12	2	0.0135519248068776
CROT	10	2	0.0397951015857214
CRYBG3	12	2	0.0135519248068776
DENND2A	11	2	0.023343985748786
EEA1	10	2	0.0397951015857214
EGFR	12	2	0.0135519248068776
EXOC2	9	1	0.0221419629766362
FOXP1	11	1	0.00664007280741231
FRMPD3	12	2	0.0135519248068776
ITSN1	11	1	0.00664007280741231
KANK1	12	1	0.00360299772716255
KANK4	12	2	0.0135519248068776
KANSL1L	11	1	0.00664007280741231
KIF1C	12	2	0.0135519248068776
MED13L	12	2	0.0135519248068776
MYO6	10	2	0.0397951015857214
NISCH	11	2	0.023343985748786
NTRK2	11	2	0.023343985748786
PAPLN	12	1	0.00360299772716255
PARP14	11	1	0.00664007280741231
PDS5A	11	2	0.023343985748786
PPP1R10	10	2	0.0397951015857214
PROX1	12	2	0.0135519248068776
PSD2	11	1	0.00664007280741231
PTPRG	10	2	0.0397951015857214
PTPRN2	12	2	0.0135519248068776
QSER1	10	1	0.0121659109371305
RBM12B	12	2	0.0135519248068776
RBSN	11	1	0.00664007280741231
RP11-407N17.3	11	2	0.023343985748786
SIN3A	12	2	0.0135519248068776
THSD1	12	2	0.0135519248068776
TNIK	11	2	0.023343985748786
ZFAND4	11	2	0.023343985748786
ZMYM2	10	2	0.0397951015857214
ZNF711	13	1	0.00194484321387671
AARS2	10	2	0.0397951015857214
AKAP3	11	2	0.023343985748786
AP3B2	11	1	0.00664007280741231
ATP13A1	9	1	0.0221419629766362
CCDC180	11	1	0.00664007280741231
COL17A1	11	2	0.023343985748786
COPA	9	1	0.0221419629766362
CTTNBP2	10	2	0.0397951015857214
DDX58	11	2	0.023343985748786
DNA2	11	0	0.00102809182558194
DOCK11	11	2	0.023343985748786
DPYSL4	11	2	0.023343985748786
EHMT2	11	2	0.023343985748786
ELL2	11	2	0.023343985748786
ELMSAN1	10	1	0.0121659109371305
ESF1	11	2	0.023343985748786
GATA3	11	2	0.023343985748786
GLIS3	10	2	0.0397951015857214
GLUD2	10	2	0.0397951015857214
GNAZ	10	1	0.0121659109371305
HGFAC	12	0	0.000517911736324636
ICE2	12	1	0.00360299772716255
IL1R2	11	2	0.023343985748786
INTS3	12	1	0.00360299772716255
IRX1	11	2	0.023343985748786
ITGB8	10	2	0.0397951015857214
JUP	11	1	0.00664007280741231
KCNH3	11	2	0.023343985748786
KIAA1161	11	1	0.00664007280741231
KIAA1522	9	1	0.0221419629766362
LAMC1	9	1	0.0221419629766362
LILRB1	11	2	0.023343985748786
LRP6	10	1	0.0121659109371305
LRRCC1	10	2	0.0397951015857214
MMP9	12	0	0.000517911736324636
MTUS1	11	2	0.023343985748786
MXRA8	10	2	0.0397951015857214
NR4A2	10	1	0.0121659109371305
OR2G6	11	1	0.00664007280741231
PAX7	9	1	0.0221419629766362
PDGFRA	11	1	0.00664007280741231
PHKA2	10	2	0.0397951015857214
PNPLA6	10	2	0.0397951015857214
POTEE	12	1	0.00360299772716255
PRKCG	11	2	0.023343985748786
PTCH2	10	2	0.0397951015857214
RBM47	10	2	0.0397951015857214
RNF6	11	1	0.00664007280741231
ROR1	12	1	0.00360299772716255
SEC31B	11	2	0.023343985748786
SHROOM4	10	2	0.0397951015857214
SLTM	12	1	0.00360299772716255
SMG5	10	2	0.0397951015857214
ST18	11	1	0.00664007280741231
ST6GAL2	10	2	0.0397951015857214
TAOK1	10	1	0.0121659109371305
TEX2	11	1	0.00664007280741231
THBS4	12	1	0.00360299772716255
TICAM1	11	2	0.023343985748786
TRAPPC10	10	2	0.0397951015857214
TRAPPC9	10	2	0.0397951015857214
TRPM2	11	1	0.00664007280741231
WASF3	11	1	0.00664007280741231
ZC3H3	11	2	0.023343985748786
ZNF74	11	2	0.023343985748786
ADARB1	10	2	0.0397951015857214
B3GALTL	9	1	0.0221419629766362
B3GNT5	10	2	0.0397951015857214
BAG6	10	2	0.0397951015857214
CASKIN2	10	2	0.0397951015857214
CCDC148	11	1	0.00664007280741231
CNGA4	11	1	0.00664007280741231
CORIN	9	1	0.0221419629766362
CPD	10	1	0.0121659109371305
CSPP1	11	0	0.00102809182558194
CSTF3	10	1	0.0121659109371305
DDX3X	10	2	0.0397951015857214
DDX60	11	1	0.00664007280741231
DEPTOR	9	1	0.0221419629766362
DPY19L2	9	1	0.0221419629766362
EGF	10	0	0.00204062083572272
EPB41L5	11	0	0.00102809182558194
EPHB6	12	0	0.000517911736324636
EPX	10	2	0.0397951015857214
EXOC1	10	1	0.0121659109371305
EXPH5	9	1	0.0221419629766362
FOXG1	11	0	0.00102809182558194
GALNT18	11	1	0.00664007280741231
GLTSCR1	10	0	0.00204062083572272
KCNC1	10	0	0.00204062083572272
MAP3K13	10	2	0.0397951015857214
MCM2	11	1	0.00664007280741231
MLH3	9	1	0.0221419629766362
MROH1	10	0	0.00204062083572272
MVK	11	1	0.00664007280741231
MYO7A	10	2	0.0397951015857214
MYPN	9	1	0.0221419629766362
NCAPD3	10	1	0.0121659109371305
NELL2	10	2	0.0397951015857214
OR8J3	10	2	0.0397951015857214
PABPC3	12	0	0.000517911736324636
PDE10A	11	1	0.00664007280741231
PIK3AP1	11	1	0.00664007280741231
PLEKHG3	10	2	0.0397951015857214
PLXNB3	10	2	0.0397951015857214
POLRMT	11	1	0.00664007280741231
PPFIA3	10	1	0.0121659109371305
SETD5	9	1	0.0221419629766362
SH3BP4	10	1	0.0121659109371305
SLC12A6	9	1	0.0221419629766362
SMTN	10	1	0.0121659109371305
STRN4	10	2	0.0397951015857214
TLR10	9	1	0.0221419629766362
TLR5	12	0	0.000517911736324636
TTC21B	9	1	0.0221419629766362
UBE2O	10	0	0.00204062083572272
UBE4B	11	1	0.00664007280741231
ULK4	10	1	0.0121659109371305
UPF2	11	1	0.00664007280741231
VWA3A	8	1	0.0399843420336388
ZBTB11	11	1	0.00664007280741231
ZFP28	9	1	0.0221419629766362
ZHX2	10	2	0.0397951015857214
ZNF416	12	0	0.000517911736324636
ZNF549	11	1	0.00664007280741231
ABCC5	10	0	0.00204062083572272
ADAMTS4	8	1	0.0399843420336388
ADAMTS7	10	1	0.0121659109371305
AFF1	8	1	0.0399843420336388
AGL	8	1	0.0399843420336388
AKAP4	9	1	0.0221419629766362
C8B	9	1	0.0221419629766362
CAND2	10	0	0.00204062083572272
CCDC97	8	1	0.0399843420336388
CFAP43	9	0	0.00405075504981407
CFAP52	9	1	0.0221419629766362
CRIM1	10	1	0.0121659109371305
CSRP2BP	10	1	0.0121659109371305
DIP2B	9	1	0.0221419629766362
DNAJC1	9	1	0.0221419629766362
DROSHA	9	0	0.00405075504981407
EDEM3	10	1	0.0121659109371305
EFCAB5	10	1	0.0121659109371305
EPAS1	11	0	0.00102809182558194
EPHA10	9	1	0.0221419629766362
ERF	9	1	0.0221419629766362
EYA1	9	1	0.0221419629766362
FAM171B	10	1	0.0121659109371305
FAM91A1	9	1	0.0221419629766362
FASTKD1	10	1	0.0121659109371305
FASTKD5	10	0	0.00204062083572272
GABRD	9	1	0.0221419629766362
GALNT5	9	1	0.0221419629766362
GPR156	8	1	0.0399843420336388
GSDMC	9	1	0.0221419629766362
HTR5A	8	1	0.0399843420336388
IARS	10	1	0.0121659109371305
IL17RC	9	1	0.0221419629766362
INTS1	9	1	0.0221419629766362
KCNT1	10	1	0.0121659109371305
KIF7	9	1	0.0221419629766362
LATS1	10	1	0.0121659109371305
LPPR4	11	0	0.00102809182558194
MAN2A1	6	0	0.0317645671459841
MYO9B	8	1	0.0399843420336388
NEDD4	9	1	0.0221419629766362
NES	11	0	0.00102809182558194
NOD2	8	1	0.0399843420336388
NPAS4	10	0	0.00204062083572272
PDCD6IP	9	0	0.00405075504981407
PDE4DIP	11	0	0.00102809182558194
PEX1	9	1	0.0221419629766362
PML	9	1	0.0221419629766362
SAP130	9	0	0.00405075504981407
SEMA3F	10	1	0.0121659109371305
SF1	10	1	0.0121659109371305
SUSD1	10	1	0.0121659109371305
SYCP1	9	1	0.0221419629766362
TACR3	8	1	0.0399843420336388
TBC1D9	9	1	0.0221419629766362
TMEM200C	8	1	0.0399843420336388
UPF3A	10	1	0.0121659109371305
ZBED1	9	1	0.0221419629766362
ZNF644	8	1	0.0399843420336388
ZNF782	9	1	0.0221419629766362
ADAMTS8	10	0	0.00204062083572272
AIFM3	9	1	0.0221419629766362
CACNA1F	8	1	0.0399843420336388
CACNG7	9	0	0.00405075504981407
CCDC138	9	0	0.00405075504981407
CEP120	8	0	0.00804337582579459
CEP135	8	0	0.00804337582579459
CHRNA6	8	1	0.0399843420336388
DLD	9	1	0.0221419629766362
DOCK9	8	0	0.00804337582579459
DPP3	9	1	0.0221419629766362
DRP2	10	0	0.00204062083572272
E2F8	9	1	0.0221419629766362
EFCAB6	9	1	0.0221419629766362
EHD2	8	1	0.0399843420336388
EIF3B	9	1	0.0221419629766362
ETV5	8	1	0.0399843420336388
FAM189B	9	1	0.0221419629766362
FAM47B	8	1	0.0399843420336388
FAM83H	9	1	0.0221419629766362
FBXO38	10	0	0.00204062083572272
FGA	8	1	0.0399843420336388
FKBP10	9	1	0.0221419629766362
GBP5	8	0	0.00804337582579459
GLYR1	9	1	0.0221419629766362
GYLTL1B	9	1	0.0221419629766362
HEATR5A	9	1	0.0221419629766362
HIC2	7	0	0.0159790015366973
HTR7	9	1	0.0221419629766362
IKBKE	9	1	0.0221419629766362
ISM1	9	1	0.0221419629766362
ITGA8	8	1	0.0399843420336388
KCNJ16	8	0	0.00804337582579459
KCNJ4	9	1	0.0221419629766362
KIF20A	9	1	0.0221419629766362
KIF5C	9	1	0.0221419629766362
KY	7	0	0.0159790015366973
LGI3	9	1	0.0221419629766362
LMTK2	10	0	0.00204062083572272
MUM1L1	9	1	0.0221419629766362
NPNT	8	0	0.00804337582579459
NRROS	8	1	0.0399843420336388
OR2T2	9	1	0.0221419629766362
OR2T4	9	1	0.0221419629766362
OR4A16	10	0	0.00204062083572272
OR7E24	8	1	0.0399843420336388
PCSK2	9	1	0.0221419629766362
PKN3	8	1	0.0399843420336388
PMFBP1	9	1	0.0221419629766362
POLD1	8	1	0.0399843420336388
PRCC	9	1	0.0221419629766362
RANBP6	9	1	0.0221419629766362
RBM34	9	1	0.0221419629766362
RCOR3	8	1	0.0399843420336388
RGAG4	8	1	0.0399843420336388
RGS9	9	1	0.0221419629766362
SCG2	9	1	0.0221419629766362
SLC17A5	9	1	0.0221419629766362
SLC6A2	10	0	0.00204062083572272
SLC6A7	9	1	0.0221419629766362
SORBS3	8	1	0.0399843420336388
SQSTM1	9	1	0.0221419629766362
SRBD1	8	0	0.00804337582579459
STK10	8	1	0.0399843420336388
SUPT16H	9	0	0.00405075504981407
TFAP2D	9	0	0.00405075504981407
TMEM168	9	1	0.0221419629766362
TOX	9	1	0.0221419629766362
TRIM56	8	1	0.0399843420336388
TRIM68	9	1	0.0221419629766362
TRPV4	9	1	0.0221419629766362
TYK2	8	1	0.0399843420336388
USP32	8	0	0.00804337582579459
VPS18	9	0	0.00405075504981407
WDR81	8	1	0.0399843420336388
WDTC1	9	1	0.0221419629766362
WWC1	8	1	0.0399843420336388
ZBTB7C	8	1	0.0399843420336388
ZFP37	8	1	0.0399843420336388
ZFR	9	1	0.0221419629766362
ZNF124	8	1	0.0399843420336388
ZNF229	8	1	0.0399843420336388
APLNR	8	1	0.0399843420336388
AQP8	8	1	0.0399843420336388
ARHGAP21	8	0	0.00804337582579459
ATP6V0A4	9	0	0.00405075504981407
BBS7	8	1	0.0399843420336388
BMPER	8	1	0.0399843420336388
CACTIN	9	0	0.00405075504981407
CADPS2	8	1	0.0399843420336388
CD248	8	1	0.0399843420336388
CEP57	8	1	0.0399843420336388
CHST4	8	1	0.0399843420336388
CPB2	8	1	0.0399843420336388
CRYBB1	8	1	0.0399843420336388
CSNK2A2	8	1	0.0399843420336388
CTC1	8	1	0.0399843420336388
DAXX	8	1	0.0399843420336388
DCST2	8	1	0.0399843420336388
EPB41L1	9	0	0.00405075504981407
F7	8	1	0.0399843420336388
FAM155A	7	0	0.0159790015366973
FERMT2	9	0	0.00405075504981407
