Tag	p.value	HR	Low 95%CI	High 95%CI
LRCH2	0.117	1.218	0.952	1.557
PDZD4	0.313	1.089	0.922	1.287
BCL2L2	0.87	1.03	0.725	1.463
PTX3	0.227	1.138	0.923	1.404
CD200	0.572	1.07	0.847	1.351
QKI	0.073	1.262	0.978	1.627
PTPN14	0.227	1.181	0.902	1.546
DNAJB5	0.576	1.045	0.896	1.219
SNRPN	0.245	1.116	0.927	1.344
DYNC1I1	0.013	1.267	1.051	1.526
RASSF7	0.978	0.997	0.806	1.233
TNFSF12	0.246	1.136	0.916	1.409
GYPC	0.377	1.08	0.91	1.282
PCOLCE	0.452	1.068	0.899	1.27
MMRN2	0.119	1.189	0.957	1.477
ITPR1	0.652	1.051	0.846	1.306
CD248	0.402	1.08	0.902	1.294
AFAP1L2	0.531	0.938	0.768	1.145
FIBIN	0.234	1.106	0.937	1.304
ZNF879	0.852	1.028	0.769	1.374
ATP2B4	0.193	1.112	0.947	1.306
CYBRD1	0.274	1.088	0.935	1.265
FAM162B	0.068	1.275	0.982	1.656
KATNAL1	0.788	1.034	0.812	1.315
LAMP5	0.015	1.224	1.039	1.441
DCLK1	0.058	1.218	0.993	1.493
KCTD15	0.452	1.081	0.883	1.322
RPS6KA2	0.238	1.17	0.902	1.517
CYP7B1	0.149	1.149	0.952	1.388
TBC1D9	0.825	1.025	0.82	1.282
MPZ	0.553	1.053	0.888	1.247
CNPY4	0.563	1.093	0.809	1.476
RBM24	0.262	1.111	0.924	1.335
GNAO1	0.61	1.037	0.901	1.195
CIRBP	0.818	1.045	0.72	1.517
USP2	0.307	1.112	0.907	1.363
CACNA2D1	0.212	1.101	0.947	1.28
TEF	0.424	1.1	0.871	1.389
PXDN	0.07	1.196	0.986	1.451
ANKRD6	0.016	1.399	1.064	1.839
GNAI1	0.04	1.229	1.01	1.495
ARHGAP31	0.533	1.075	0.856	1.35
ARHGEF25	0.268	1.093	0.934	1.278
EHBP1L1	0.921	1.015	0.76	1.355
PCDH12	0.128	1.226	0.943	1.592
PLSCR4	0.067	1.192	0.988	1.439
RGL1	0.659	1.051	0.843	1.311
RARB	0.223	1.162	0.913	1.478
SATB1	0.443	1.09	0.875	1.358
PHC1	0.597	1.068	0.837	1.362
ST6GALNAC6	0.338	1.146	0.867	1.513
FABP4	0.08	1.096	0.989	1.214
ELN	0.311	1.068	0.941	1.212
SERPINF1	0.262	1.089	0.938	1.265
IGIP	0.604	1.088	0.791	1.498
EID1	0.069	1.254	0.982	1.601
FBLN5	0.143	1.133	0.959	1.339
FAM83D	0.27	1.101	0.928	1.305
TMEM178A	0.523	1.097	0.825	1.459
RBP7	0.048	1.197	1.001	1.431
SEMA3A	0.612	0.957	0.807	1.134
UCN2	0.85	0.977	0.769	1.242
SELENOP	0.499	1.048	0.915	1.201
KCTD10	0.354	1.161	0.846	1.594
IL11RA	0.673	0.933	0.676	1.288
TACC1	0.088	1.19	0.974	1.453
KCTD7	0.711	1.058	0.786	1.424
CYP39A1	0.32	0.898	0.727	1.11
SDC3	0.429	0.923	0.756	1.126
ATP1A2	0.259	1.073	0.95	1.212
SLC25A27	0.987	1.002	0.826	1.215
ARHGAP22	0.909	1.021	0.716	1.454
MAPK8IP1	0.882	1.013	0.854	1.202
LPAR1	0.561	1.059	0.873	1.283
HSPE1	0.211	1.2	0.902	1.596
CCDC92	0.172	1.252	0.907	1.73
ZYX	0.289	1.148	0.889	1.483
EMP1	0.321	1.092	0.918	1.3
BCL6B	0.21	1.167	0.917	1.485
PLA2G4C	0.935	0.991	0.795	1.235
FAM171A2	0.3	1.113	0.909	1.361
GFPT2	0.461	1.067	0.898	1.267
ZNF470	0.604	1.08	0.807	1.445
NDN	0.401	1.07	0.913	1.255
NFATC4	0.289	1.125	0.905	1.398
TNS2	0.417	1.089	0.886	1.338
IQCN	0.565	0.912	0.668	1.246
CCL11	0.845	0.988	0.879	1.112
SARM1	0.674	1.077	0.763	1.52
SRF	0.634	1.07	0.811	1.411
CHMP4C	0.549	0.947	0.792	1.132
NRP1	0.006	1.388	1.1	1.75
SYNPO	0.435	1.078	0.893	1.301
ALDH1B1	0.738	1.031	0.864	1.23
HOMER3	0.074	1.232	0.98	1.548
HRH1	0.149	1.192	0.939	1.511
ECSCR	0.424	1.105	0.865	1.413
ICA1L	0.764	1.049	0.768	1.432
EXOC3L1	0.716	0.942	0.685	1.297
COL6A2	0.281	1.094	0.929	1.29
STC1	0.008	1.293	1.071	1.562
LDLRAD2	0.324	1.15	0.871	1.517
SMPX	0.526	1.036	0.929	1.156
MTURN	0.97	1.004	0.816	1.236
MMP23B	0.395	1.137	0.846	1.528
PRDM11	0.886	1.023	0.753	1.388
CCDC136	0.365	1.073	0.921	1.249
SEPTIN5	0.329	1.107	0.903	1.358
GLIS1	0.955	1.008	0.753	1.351
LMCD1	0.487	1.092	0.852	1.401
CLSTN2	0.576	1.067	0.85	1.339
UCHL1	0.311	1.068	0.94	1.214
LAMC1	0.081	1.183	0.98	1.428
GGT5	0.161	1.14	0.949	1.368
CAMK1D	0.671	1.044	0.856	1.272
JDP2	0.47	0.889	0.645	1.224
SERTAD4	0.617	1.042	0.887	1.225
WWC3	0.603	1.061	0.848	1.328
CACNA1H	0.289	1.073	0.942	1.222
SLC39A13	0.958	1.009	0.73	1.395
TPM4	0.265	1.214	0.863	1.707
COPZ2	0.172	1.137	0.946	1.366
COL16A1	0.883	1.013	0.853	1.203
ADAM22	0.203	1.189	0.911	1.553
SH3BGR	0.519	1.067	0.876	1.299
LOXL3	0.143	1.235	0.931	1.639
PCDHGB7	0.25	1.146	0.908	1.447
COX5B	0.181	1.296	0.886	1.896
ZFP82	0.633	1.083	0.781	1.501
LCAT	0.394	1.138	0.845	1.534
NFIX	0.519	0.937	0.77	1.141
TMEM170B	0.38	1.124	0.866	1.46
CHRDL2	0.487	1.035	0.939	1.142
ADCY4	0.51	1.099	0.83	1.456
PCDHGB5	0.26	1.131	0.913	1.401
MRGPRF	0.464	1.044	0.93	1.173
DACT3	0.326	1.072	0.933	1.232
VAMP8	0.854	1.028	0.767	1.376
TBC1D19	0.262	1.208	0.868	1.681
SLC2A4	0.396	1.06	0.926	1.214
PLXNA4	0.719	1.038	0.847	1.272
FNBP1	0.976	1.003	0.851	1.181
FABP3	0.207	1.105	0.946	1.291
CTXN1	0.218	1.095	0.948	1.264
MAMDC2	0.13	1.112	0.969	1.276
GFRA1	0.032	1.158	1.012	1.325
ZNF354C	0.126	1.243	0.941	1.642
NAP1L2	0.091	1.186	0.973	1.446
TGFB1I1	0.176	1.12	0.95	1.319
ABI3BP	0.244	1.078	0.95	1.224
EPDR1	0.214	1.1	0.946	1.28
MOXD1	0.183	1.116	0.95	1.31
VAT1	0.007	1.379	1.093	1.738
C3orf80	0.821	1.027	0.813	1.298
APBA1	0.332	1.167	0.854	1.596
GLIS2	0.086	1.181	0.977	1.429
PTCH2	0.127	1.156	0.96	1.392
NTNG2	0.904	1.021	0.726	1.437
NBEA	0.548	1.058	0.88	1.272
FAIM2	0.673	0.956	0.778	1.176
CCSER2	0.248	1.166	0.898	1.514
LTBP1	0.305	1.088	0.926	1.277
TMEM158	0.239	0.893	0.74	1.078
KIAA1755	0.596	1.063	0.848	1.331
C1QTNF2	0.165	1.181	0.934	1.492
STC2	0.538	1.059	0.882	1.27
TMEM173	0.367	1.123	0.873	1.446
RASSF3	0.393	1.113	0.871	1.423
TNFSF4	0.933	1.01	0.807	1.263
ARHGAP6	0.247	1.121	0.924	1.359
MAGEE1	0.053	1.269	0.997	1.614
CXCL2	0.403	0.948	0.836	1.075
SHISA3	0.969	1.003	0.879	1.143
LPP	0.422	1.074	0.903	1.278
ATL1	0.739	0.947	0.689	1.303
SPARCL1	0.195	1.082	0.96	1.22
NUDT8	0.764	0.97	0.797	1.181
GKAP1	0.445	0.874	0.619	1.235
STOM	0.07	1.223	0.984	1.522
PEAR1	0.091	1.219	0.969	1.535
STOX2	0.582	1.074	0.834	1.383
ZKSCAN7	0.663	1.071	0.788	1.455
FMOD	0.269	1.086	0.938	1.257
AHNAK	0.093	1.195	0.97	1.471
CLIP4	0.037	1.251	1.013	1.545
RAB6B	0.177	1.144	0.941	1.389
PLPPR4	0.014	1.278	1.052	1.554
SCUBE2	0.225	1.131	0.927	1.38
KIF26B	0.376	1.078	0.913	1.271
TPM1	0.562	1.05	0.89	1.241
PRKD1	0.06	1.238	0.991	1.547
CCDC146	0.555	0.923	0.709	1.203
ZXDA	0.561	0.912	0.668	1.245
HDGFL3	0.159	1.158	0.944	1.421
NOVA2	0.463	1.136	0.808	1.598
POGLUT2	0.334	1.133	0.879	1.46
TMEM125	0.092	0.852	0.708	1.026
CFH	0.147	1.131	0.958	1.336
TMEM245	0.255	1.16	0.898	1.498
DAPK3	0.833	0.965	0.691	1.346
PLXDC2	0.088	1.161	0.978	1.378
JAM2	0.575	1.051	0.884	1.248
VPS35L	0.169	1.186	0.93	1.511
USP11	0.885	1.022	0.758	1.38
COX7A2	0.78	0.947	0.647	1.386
HSPB7	0.322	1.047	0.956	1.147
CHST7	0.208	1.189	0.908	1.558
PRKN	0.853	1.028	0.77	1.373
AXL	0.005	1.296	1.083	1.552
FBXO32	0.178	1.106	0.955	1.28
SULF2	0.635	1.041	0.883	1.226
SALL2	0.214	1.111	0.941	1.313
MLH1	0.282	1.138	0.899	1.441
RERG	0.087	1.129	0.982	1.298
NEXN	0.541	1.039	0.918	1.176
SETBP1	0.174	1.13	0.947	1.348
SEMA5B	0.028	1.397	1.037	1.881
HOXA4	0.198	1.12	0.942	1.332
EBF3	0.216	1.173	0.911	1.509
SNAP25	0.927	1.007	0.872	1.162
GREB1	0.414	1.105	0.87	1.403
CACNB2	0.921	1.011	0.82	1.246
TGFBR1	0.41	1.111	0.865	1.427
CLEC14A	0.362	1.11	0.887	1.39
ADGRL4	0.161	1.179	0.937	1.483
PMEPA1	0.388	1.064	0.925	1.223
MMP2	0.348	1.071	0.928	1.236
ARRDC4	0.131	1.18	0.952	1.463
NLGN4X	0.628	1.046	0.873	1.253
PRKAR2B	0.981	1.002	0.859	1.169
MN1	0.358	1.068	0.929	1.228
SERPING1	0.297	1.091	0.926	1.284
CMTM8	0.937	0.99	0.778	1.261
FMO2	0.085	1.13	0.983	1.299
PGF	0.238	1.159	0.907	1.48
METTL7A	0.959	0.995	0.836	1.185
FBN1	0.097	1.14	0.977	1.33
CYP2U1	0.028	1.327	1.03	1.709
FAM124A	0.187	1.137	0.939	1.377
TNFAIP8L3	0.043	1.227	1.006	1.495
SFRP2	0.241	1.048	0.969	1.134
RASGRF2	0.114	1.256	0.947	1.665
ADAM19	0.781	0.972	0.793	1.19
FOXN3	0.444	1.107	0.853	1.436
OBSL1	0.129	1.115	0.969	1.284
CADM1	0.592	1.042	0.896	1.213
LRRC3	0.398	1.099	0.883	1.368
ZNF615	0.493	1.093	0.848	1.407
MINDY2	0.75	1.051	0.775	1.424
NPTXR	0.449	1.053	0.921	1.204
RFX2	0.972	1.005	0.778	1.296
SLC50A1	0.626	1.067	0.822	1.386
PJA2	0.052	1.294	0.997	1.68
UQCRH	0.696	0.928	0.639	1.349
RSPO2	0.999	1	0.782	1.279
RAPGEF4	0.396	1.121	0.861	1.458
PLPP7	0.474	1.085	0.868	1.356
CBX6	0.757	1.026	0.873	1.206
LAMA4	0.127	1.165	0.958	1.416
TDRP	0.135	1.161	0.955	1.412
SOX15	0.646	1.038	0.886	1.216
CDH5	0.416	1.096	0.879	1.367
APBB1	0.196	1.127	0.94	1.35
CREBRF	0.327	1.178	0.849	1.633
TIMP2	0.032	1.224	1.017	1.473
C1QTNF7	0.11	1.162	0.966	1.398
GRID1	0.262	1.129	0.913	1.395
FRMD6	0.038	1.225	1.011	1.485
LCA5	0.233	1.219	0.881	1.687
SH3BP5	0.676	1.053	0.827	1.341
GPR161	0.235	1.141	0.918	1.418
MYL9	0.166	1.076	0.97	1.194
PHLDB2	0.031	1.198	1.017	1.412
SLC35G2	0.602	1.076	0.817	1.417
RSPO1	0.123	1.202	0.952	1.517
GSTM2	0.429	1.116	0.85	1.466
TCF21	0.88	1.016	0.823	1.255
CLDN11	0.069	1.182	0.987	1.416
BHLHB9	0.846	1.034	0.742	1.44
EVC2	0.295	1.164	0.876	1.545
CA5B	0.853	1.029	0.76	1.394
UBE2Q2	0.432	1.106	0.861	1.42
SYNC	0.468	1.059	0.907	1.236
TUSC3	0.108	1.142	0.971	1.344
C14orf132	0.209	1.107	0.945	1.298
WNT2B	0.75	0.965	0.772	1.204
CYTL1	0.013	1.295	1.055	1.589
IGF1	0.209	1.132	0.933	1.372
LAMB2	0.934	1.009	0.82	1.241
SMAGP	0.419	0.915	0.738	1.135
SLC16A4	0.642	1.047	0.862	1.273
HDAC4	0.578	0.936	0.74	1.183
SNN	0.271	1.162	0.889	1.518
WBP1L	0.465	1.124	0.821	1.538
ASPA	0.165	1.245	0.914	1.698
BCHE	0.101	1.113	0.979	1.265
LDLRAD4	0.463	1.09	0.867	1.37
ORAI2	0.83	1.026	0.812	1.296
PRDM8	0.33	1.099	0.909	1.33
KCNMB1	0.486	1.044	0.925	1.179
EVC	0.211	1.118	0.939	1.331
EFNB3	0.068	1.217	0.986	1.502
AZIN2	0.732	1.072	0.719	1.598
CBX7	0.858	1.021	0.817	1.275
KCTD12	0.516	1.055	0.897	1.241
PELI3	0.853	1.026	0.781	1.348
EMP3	0.434	1.082	0.888	1.32
TSHZ3	0.24	1.128	0.923	1.378
MXD4	0.964	1.006	0.76	1.332
MRC2	0.501	1.062	0.892	1.265
SUSD5	0.131	1.199	0.947	1.518
VIP	0.407	1.047	0.939	1.168
L1CAM	0.752	1.018	0.91	1.14
C11orf96	0.131	1.133	0.963	1.332
TMEM88	0.04	1.244	1.01	1.532
RHOBTB3	0.063	1.169	0.991	1.378
FRZB	0.319	1.077	0.931	1.246
PRR5L	0.432	1.091	0.878	1.356
SLC25A4	0.475	0.921	0.735	1.154
ZNF471	0.602	1.073	0.823	1.4
NRSN2	0.405	1.077	0.905	1.281
SYPL2	0.186	1.153	0.934	1.422
PLXND1	0.885	1.015	0.83	1.242
EGR3	0.31	1.085	0.927	1.27
RNF144A	0.041	1.258	1.01	1.566
PHLDA3	0.452	0.938	0.794	1.108
ADAMTS9	0.33	1.117	0.894	1.395
ACTC1	0.416	1.071	0.907	1.265
HSBP1L1	0.347	1.141	0.867	1.503
PLAT	0.197	1.159	0.926	1.452
DCHS1	0.379	1.091	0.898	1.326
INKA2	0.601	0.917	0.661	1.271
HSPA2	1	1	0.838	1.193
PPP1R3F	0.397	1.146	0.836	1.571
NPR2	0.227	1.188	0.899	1.569
INSYN1	0.6	1.069	0.833	1.371
MXRA7	0.173	1.124	0.95	1.33
MATN2	0.672	0.97	0.845	1.115
PITPNM2	0.755	1.047	0.783	1.401
COL18A1	0.222	1.119	0.934	1.341
INAFM1	0.531	1.097	0.821	1.465
PTCH1	0.891	1.013	0.839	1.224
PDE3A	0.454	1.064	0.904	1.254
HSPB8	0.12	1.09	0.978	1.214
NNMT	0.131	1.13	0.964	1.325
PPP1R14A	0.182	1.091	0.96	1.239
ANKRD35	0.42	1.102	0.87	1.396
ZNF256	0.729	1.037	0.845	1.272
RUNX2	0.111	1.228	0.954	1.581
RAB32	0.708	1.043	0.838	1.296
NID1	0.202	1.131	0.936	1.368
COL14A1	0.221	1.081	0.955	1.223
CD302	0.122	1.174	0.958	1.438
KCNJ8	0.061	1.207	0.991	1.47
RAB30	0.4	0.889	0.677	1.169
C1orf216	0.895	0.979	0.717	1.338
ZNF461	0.627	1.082	0.787	1.488
COL6A3	0.472	1.057	0.909	1.23
SMIM10	0.1	1.167	0.971	1.403
DST	0.033	1.211	1.016	1.444
ANGPT2	0.119	1.178	0.959	1.447
ZNF287	0.305	1.171	0.866	1.585
ADORA1	0.501	1.11	0.819	1.504
COA6	0.311	1.195	0.847	1.686
GLI2	0.37	1.086	0.906	1.302
ST3GAL4	0.566	1.051	0.886	1.247
SLC10A6	0.334	1.146	0.87	1.509
B4GALNT1	0.689	1.057	0.805	1.388
JPH2	0.38	1.053	0.939	1.181
RHOBTB1	0.397	1.101	0.881	1.378
ARID5B	0.956	1.007	0.794	1.277
NEURL1B	0.823	0.978	0.804	1.19
FUT11	0.736	1.054	0.777	1.43
MRVI1	0.39	1.061	0.927	1.215
RBPMS	0.431	1.078	0.894	1.299
NFIB	0.84	1.02	0.844	1.231
ZNF383	0.301	0.824	0.57	1.19
ACACB	0.443	0.918	0.737	1.143
SHISA4	0.352	1.089	0.91	1.303
CTSG	0.618	1.05	0.867	1.27
DES	0.54	1.018	0.962	1.076
FAM117A	0.538	1.074	0.856	1.347
PRSS3	0.271	0.939	0.839	1.05
PNMA1	0.007	1.35	1.085	1.679
SLC4A3	0.437	1.065	0.909	1.247
ACTA2	0.11	1.101	0.979	1.238
SYNPO2	0.399	1.036	0.955	1.124
ANGPT1	0.161	1.182	0.936	1.494
ADH1B	0.184	1.072	0.968	1.187
SNAI2	0.108	1.164	0.967	1.401
LPL	0.125	1.135	0.965	1.336
SYT11	0.994	1.001	0.835	1.199
PRIMA1	0.09	1.107	0.984	1.245
ZNF154	0.882	0.98	0.755	1.273
MYH11	0.486	1.025	0.956	1.1
STAC	0.049	1.238	1.001	1.532
DOCK4	0.631	1.069	0.813	1.407
P4HA3	0.149	1.188	0.94	1.503
SDC2	0.084	1.196	0.976	1.465
GPR27	0.235	1.094	0.943	1.269
SELENOM	0.407	1.076	0.905	1.279
THSD1	0.632	1.078	0.792	1.468
ZC2HC1A	0.056	1.286	0.994	1.665
TCP11L1	0.394	1.132	0.851	1.506
CEP68	0.985	1.003	0.747	1.346
EVA1B	0.153	1.186	0.939	1.497
SCARF1	0.672	1.069	0.784	1.458
ING4	0.69	0.933	0.662	1.314
EPHA4	0.318	1.098	0.914	1.318
BICC1	0.274	1.105	0.924	1.322
CYGB	0.428	1.092	0.879	1.357
AQP1	0.381	1.062	0.928	1.216
SLC16A7	0.317	1.11	0.905	1.36
PRDM5	0.05	1.351	1.001	1.825
CLIC4	0.405	1.088	0.892	1.326
ABHD8	0.266	1.139	0.906	1.432
ZMAT1	0.952	0.993	0.778	1.266
DYSF	0.333	1.114	0.895	1.387
MAP3K3	0.384	1.139	0.85	1.525
FAM124B	0.311	1.15	0.877	1.507
KLHL42	0.511	0.916	0.706	1.189
PNMA8A	0.565	1.047	0.895	1.227
MMP14	0.359	1.094	0.903	1.324
CAB39L	0.496	0.931	0.757	1.144
RAB25	0.653	0.958	0.795	1.154
MAP6	0.061	1.202	0.992	1.456
CD81	0.995	1.001	0.739	1.355
ZNF585B	0.413	1.11	0.864	1.427
PINLYP	0.681	1.061	0.799	1.41
VAT1L	0.941	1.008	0.808	1.259
KIF3C	0.174	1.151	0.94	1.411
VSTM2L	0.107	1.094	0.981	1.22
CHST3	0.322	1.087	0.921	1.283
SMARCA1	0.032	1.214	1.017	1.45
SCUBE3	0.066	1.24	0.986	1.56
CFD	0.506	1.045	0.917	1.192
APCDD1L	0.118	1.218	0.951	1.56
EGR2	0.804	1.02	0.874	1.19
CDKN1C	0.432	1.058	0.919	1.217
FEZ1	0.201	1.166	0.922	1.474
ADAM12	0.154	1.116	0.96	1.297
NACAD	0.195	1.146	0.933	1.407
NAV1	0.636	1.062	0.828	1.363
NFKBIZ	0.621	1.051	0.862	1.283
ARID5A	0.442	1.121	0.838	1.501
FAM184A	0.069	1.3	0.98	1.725
GPC1	0.591	0.954	0.803	1.133
GPR20	0.703	1.045	0.833	1.312
DLG4	0.356	1.126	0.875	1.45
PALD1	0.79	1.024	0.862	1.216
TTBK2	0.432	1.142	0.821	1.588
CPNE2	0.793	1.039	0.781	1.383
CCDC184	0.22	1.241	0.879	1.752
FGF2	0.56	1.054	0.884	1.256
SORBS3	0.585	1.07	0.839	1.364
FADS3	0.893	0.983	0.759	1.272
UBE2QL1	0.059	1.3	0.99	1.706
IGFBP3	0.196	1.114	0.946	1.312
ADCY5	0.138	1.101	0.969	1.25
ZNF467	0.387	1.105	0.882	1.384
CLDN5	0.85	1.018	0.847	1.223
CXCL8	0.975	0.998	0.907	1.099
ZEB2	0.793	1.031	0.822	1.292
PRR13	0.89	1.023	0.743	1.407
HIST1H4B	0.592	0.899	0.608	1.328
PCDHGB6	0.451	1.126	0.828	1.531
PLPP3	0.454	1.099	0.858	1.408
MYMX	0.841	0.973	0.745	1.271
FBLN2	0.378	1.059	0.932	1.203
SCG2	0.414	1.056	0.927	1.202
ARHGEF4	0.057	1.175	0.995	1.387
ZBTB16	0.315	1.087	0.924	1.28
HSPB2	0.171	1.234	0.913	1.669
JAZF1	0.124	1.223	0.946	1.582
RASIP1	0.459	1.097	0.858	1.404
CCND2	0.563	0.963	0.846	1.095
CLIP3	0.211	1.099	0.948	1.274
RTL5	0.219	1.135	0.927	1.39
KCTD11	0.764	1.049	0.766	1.438
NHSL2	0.246	1.118	0.926	1.349
PDZD2	0.497	1.093	0.845	1.415
SOX5	0.405	1.139	0.838	1.549
FAM131A	0.086	1.324	0.961	1.824
LMO3	0.202	1.179	0.915	1.519
BEX2	0.22	1.073	0.959	1.202
NUAK1	0.155	1.182	0.939	1.489
ADRB2	0.67	1.055	0.825	1.35
MAMLD1	0.404	1.103	0.876	1.389
ATP1B2	0.119	1.155	0.964	1.384
PTGIS	0.289	1.062	0.951	1.185
ARHGEF26	0.202	1.099	0.95	1.272
ZBTB20	0.95	0.993	0.788	1.25
FAM171B	0.097	1.227	0.964	1.56
ELK3	0.047	1.338	1.004	1.783
ADAMTS10	0.226	1.15	0.917	1.442
SCARA5	0.793	0.98	0.845	1.137
SCARA3	0.28	1.082	0.938	1.249
RCAN2	0.297	1.093	0.925	1.292
CSDC2	0.447	1.084	0.881	1.333
CAVIN3	0.668	1.044	0.858	1.27
DBI	0.592	1.095	0.785	1.53
GSPT2	0.372	1.086	0.906	1.3
EDNRB	0.194	1.136	0.937	1.379
STMN2	0.184	1.107	0.953	1.286
ATP5IF1	0.829	0.959	0.657	1.401
LHFPL6	0.098	1.163	0.973	1.39
NIBAN1	0.359	1.064	0.931	1.216
ZNF577	0.868	1.021	0.801	1.301
FAM228B	0.295	1.198	0.854	1.68
KLHL29	0.285	1.143	0.895	1.459
