Tag	geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId	DB
11	hsa04974	Protein digestion and absorption	http://www.kegg.jp/kegg-bin/show_pathway?hsa04974+1277+1278+1281+1282+1284+1286+1287+1288+1289+1290+1291+1292+1293+1294+1300+1301+1305+2006+477+482+50509+5547+5646+6546+7373+80781	65	26	8.0853944755371	3.21567489114659	1.58590081067445e-08	4.31076674901508e-07	1277;1278;1281;1282;1284;1286;1287;1288;1289;1290;1291;1292;1293;1294;1300;1301;1305;2006;477;482;50509;5547;5646;6546;7373;80781	ELN;ATP1A2;COL6A2;COL18A1;COL14A1;COL6A3;PRSS3;ATP1B2;COL4A5;COL6A1;COL11A1;COL4A4;COL5A2;COL3A1;COL4A1;COL5A3;PRCP;SLC8A1;COL1A2;COL5A1;COL4A6;COL10A1;COL1A1;COL7A1;COL4A2;COL13A1	pathway_KEGG
12	hsa04926	Relaxin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04926+10000+10681+111+115+1277+1278+1281+1282+1284+1286+1287+1288+1910+196883+25759+2770+2771+2775+2788+2791+3725+408+4313+4846+5566+5567+5600+5602+59+59345+64764+7040+7046+7048+7423+7424+94235+9586	126	38	15.6732262141181	2.42451678300735	7.88131547801996e-08	1.96376110660664e-06	10000;10681;111;115;1277;1278;1281;1282;1284;1286;1287;1288;1910;196883;25759;2770;2771;2775;2788;2791;3725;408;4313;4846;5566;5567;5600;5602;59;59345;64764;7040;7046;7048;7423;7424;94235;9586	PRKACB;GNAO1;GNAI1;ADCY4;TGFBR1;MMP2;ACTA2;ADCY5;EDNRB;AKT3;PRKACA;NOS3;COL4A5;TGFB1;COL4A4;ARRB1;COL3A1;VEGFB;COL4A1;GNB5;MAPK11;JUN;CREB3L2;CREB5;COL1A2;GNG7;TGFBR2;COL4A6;SHC2;MAPK10;COL1A1;GNAI2;GNG8;VEGFC;GNG11;COL4A2;GNB4;ADCY9	pathway_KEGG
13	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	http://www.kegg.jp/kegg-bin/show_pathway?hsa05412+1000+1674+1756+22801+2697+27092+3672+3678+3679+3680+3690+3693+3908+51176+60+6262+6442+6443+6444+6546+775+783+784+83439+8516	66	25	8.20978515977613	3.04514667722215	1.08071643190044e-07	2.48564779337102e-06	1000;1674;1756;22801;2697;27092;3672;3678;3679;3680;3690;3693;3908;51176;60;6262;6442;6443;6444;6546;775;783;784;83439;8516	SGCB;TCF7L1;CACNB2;DES;CACNB3;ITGA7;DMD;LAMA2;SLC8A1;SGCD;RYR2;SGCA;ITGA9;ITGA5;ITGB5;ITGA8;CDH2;CACNA1C;LEF1;ITGA1;ITGA11;GJA1;CACNG4;ACTB;ITGB3	pathway_KEGG
14	hsa04015	Rap1 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04015+10000+10411+11069+111+115+1268+1902+1945+196883+2149+2247+2252+2255+2260+22808+2321+2324+2770+2771+2775+284+285+3082+3479+3690+3791+3815+4803+4804+5028+5155+5156+5159+5217+5228+5587+5600+56034+60+6237+7010+7057+7094+7423+7424+80310+84552+9002+9732+9863	196	50	24.3805741108503	2.05081306833328	2.79442142092634e-07	5.9680857489784e-06	10000;10411;11069;111;115;1268;1902;1945;196883;2149;2247;2252;2255;2260;22808;2321;2324;2770;2771;2775;284;285;3082;3479;3690;3791;3815;4803;4804;5028;5155;5156;5159;5217;5228;5587;5600;56034;60;6237;7010;7057;7094;7423;7424;80310;84552;9002;9732;9863	PFN2;FGF10;F2RL3;GNAO1;GNAI1;LPAR1;ADCY4;PRKD1;PGF;RAPGEF4;IGF1;ANGPT2;ANGPT1;DOCK4;FGF2;ADCY5;FLT4;AKT3;KIT;NGF;TLN1;VEGFB;FGF7;PDGFRA;MRAS;KDR;PDGFRB;PDGFD;F2R;CNR1;HGF;PDGFB;MAPK11;THBS1;PARD6G;RAPGEF3;FLT1;FGFR1;MAGI2;PDGFC;NGFR;P2RY1;RRAS;GNAI2;TEK;VEGFC;EFNA4;ACTB;ITGB3;ADCY9	pathway_KEGG
15	hsa04371	Apelin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04371+10000+10014+10365+10681+111+115+185+187+196883+22808+23710+2770+2771+2788+2791+3708+4205+4208+4209+4638+4846+4854+5054+51422+5327+5563+5566+5567+59+59345+6237+6262+6546+7046+8877+94235+9759	131	37	16.2951796353132	2.27061013306152	7.32174246342865e-07	1.45946733104344e-05	10000;10014;10365;10681;111;115;185;187;196883;22808;23710;2770;2771;2788;2791;3708;4205;4208;4209;4638;4846;4854;5054;51422;5327;5563;5566;5567;59;59345;6237;6262;6546;7046;8877;94235;9759	PRKACB;ITPR1;GNAI1;ADCY4;TGFBR1;HDAC4;PLAT;ACTA2;ADCY5;AKT3;GABARAPL1;PRKACA;NOS3;KLF2;NOTCH3;GNB5;MRAS;HDAC5;MYLK;SERPINE1;SLC8A1;RYR2;GNG7;PRKAG2;PRKAA2;AGTR1;RRAS;APLNR;MEF2D;SPHK1;MEF2C;MEF2A;GNAI2;GNG8;GNG11;GNB4;ADCY9	pathway_KEGG
16	hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+10000+1277+1278+1281+1282+1284+1286+1287+1288+185+2335+3569+3725+4313+4846+50507+5054+5292+5600+5602+6401+6777+7040+7042+7043+7046+7048+7056+7423+7424	97	30	12.0658963711861	2.48634656531953	1.03788349603562e-06	1.93954478321656e-05	10000;1277;1278;1281;1282;1284;1286;1287;1288;185;2335;3569;3725;4313;4846;50507;5054;5292;5600;5602;6401;6777;7040;7042;7043;7046;7048;7056;7423;7424	TGFBR1;MMP2;AKT3;FN1;NOS3;COL4A5;TGFB1;COL4A4;COL3A1;VEGFB;COL4A1;STAT5B;SERPINE1;MAPK11;SELE;JUN;TGFB2;COL1A2;TGFBR2;COL4A6;THBD;AGTR1;MAPK10;PIM1;TGFB3;COL1A1;VEGFC;COL4A2;IL6;NOX4	pathway_KEGG
17	hsa04261	Adrenergic signaling in cardiomyocytes	http://www.kegg.jp/kegg-bin/show_pathway?hsa04261+10000+10411+11069+111+115+146+154+185+196883+27092+2770+2771+477+482+493+5350+5502+5523+5526+5566+5567+5600+6262+6324+6330+64764+6546+70+7168+7169+7171+775+783+784+818+9586	130	36	16.1707889510742	2.22623646310148	1.73683732285212e-06	3.05479035019286e-05	10000;10411;11069;111;115;146;154;185;196883;27092;2770;2771;477;482;493;5350;5502;5523;5526;5566;5567;5600;6262;6324;6330;64764;6546;70;7168;7169;7171;775;783;784;818;9586	PRKACB;ATP2B4;GNAI1;ATP1A2;TPM4;ADCY4;TPM1;CACNB2;RAPGEF4;ACTC1;ADCY5;ADRB2;ATP1B2;AKT3;CACNB3;PRKACA;SCN1B;PPP2R3A;PPP1R1A;ADRA1D;MAPK11;SLC8A1;RAPGEF3;CREB3L2;CREB5;RYR2;PPP2R5B;SCN4B;CAMK2G;AGTR1;CACNA1C;GNAI2;PLN;TPM2;CACNG4;ADCY9	pathway_KEGG
18	hsa05144	Malaria	http://www.kegg.jp/kegg-bin/show_pathway?hsa05144+1311+2995+3082+3569+4035+5175+6383+6401+6403+7040+7042+7043+7057+7058+7059+7060+948+975	45	18	5.59758079075645	3.21567489114659	2.66464804932198e-06	4.42627648192929e-05	1311;2995;3082;3569;4035;5175;6383;6401;6403;7040;7042;7043;7057;7058;7059;7060;948;975	LRP1;GYPC;SDC2;CD81;THBS4;TGFB1;CD36;PECAM1;HGF;COMP;THBS1;SELE;TGFB2;TGFB3;THBS3;IL6;THBS2;SELP	pathway_KEGG
19	hsa04514	Cell adhesion molecules (CAMs)	http://www.kegg.jp/kegg-bin/show_pathway?hsa04514+1000+1003+1272+1462+23114+23705+3680+3897+4267+4359+4684+4685+5010+5175+54413+57502+57555+57863+5797+58494+6383+6401+6403+64101+7122+83700+84628+8506+8516+90952+9369+9379+947+9672	122	34	15.1756634771619	2.2404292274382	2.88794815617166e-06	4.51770349004485e-05	1000;1003;1272;1462;23114;23705;3680;3897;4267;4359;4684;4685;5010;5175;54413;57502;57555;57863;5797;58494;6383;6401;6403;64101;7122;83700;84628;8506;8516;90952;9369;9379;947;9672	NLGN2;NLGN3;NFASC;PTPRM;MPZ;SDC3;NTNG2;JAM2;NLGN4X;CADM1;CDH5;CLDN11;L1CAM;SDC2;CLDN5;CD34;PECAM1;SELE;ESAM;NRXN2;CNTNAP1;VCAN;ITGA9;CNTN1;CADM3;NCAM1;ITGA8;NCAM2;CDH2;JAM3;NRXN3;LRRC4;CD99;SELP	pathway_KEGG
20	hsa04921	Oxytocin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04921+10398+111+115+1827+196883+27092+2770+2771+2775+2977+3708+3725+4208+4638+4659+4660+4776+4846+4881+4882+5021+51422+54776+5563+5566+5567+57118+5997+60+6262+775+783+784+818+8536+8605	133	36	16.5439610037913	2.17602060303153	3.12087355935908e-06	4.51770349004485e-05	10398;111;115;1827;196883;27092;2770;2771;2775;2977;3708;3725;4208;4638;4659;4660;4776;4846;4881;4882;5021;51422;54776;5563;5566;5567;57118;5997;60;6262;775;783;784;818;8536;8605	PRKACB;PPP1R12A;ITPR1;GNAO1;GNAI1;PLA2G4C;NFATC4;CAMK1D;ADCY4;CACNB2;MYL9;NPR2;ADCY5;CACNB3;CAMK1;PRKACA;NOS3;PPP1R12C;RCAN1;MYLK;GUCY1A2;NPR1;JUN;RYR2;PRKAG2;PRKAA2;CAMK2G;RGS2;MEF2C;PPP1R12B;CACNA1C;GNAI2;OXTR;CACNG4;ACTB;ADCY9	pathway_KEGG
21	hsa04020	Calcium signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04020+115+146+154+185+1909+1910+196883+2149+2774+291+3269+3356+3357+3707+3708+4638+4846+493+5021+5136+5156+5159+5260+5350+552+5566+5567+5731+5733+5737+623+624+6262+6546+6865+6915+775+80228+818+8877+8912+9630	166	42	20.6488535836794	2.03401122632766	3.24336368318079e-06	4.51770349004485e-05	115;146;154;185;1909;1910;196883;2149;2774;291;3269;3356;3357;3707;3708;4638;4846;493;5021;5136;5156;5159;5260;5350;552;5566;5567;5731;5733;5737;623;624;6262;6546;6865;6915;775;80228;818;8877;8912;9630	PRKACB;ITPR1;ATP2B4;HRH1;CACNA1H;ADCY4;ORAI2;SLC25A4;ADRB2;EDNRB;PDE1A;AVPR1A;BDKRB1;PRKACA;NOS3;TACR2;BDKRB2;PDGFRA;ADRA1D;PDGFRB;F2R;PTGER3;PTGER1;MYLK;GNAL;PTGFR;SLC8A1;RYR2;HTR2A;CAMK2G;AGTR1;GNA14;EDNRA;SPHK1;PHKG1;CACNA1C;ITPKB;PLN;TBXA2R;HTR2B;OXTR;ADCY9	pathway_KEGG
22	hsa04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04010+10000+11221+1843+1845+1945+2247+2252+2255+2260+22808+2316+2318+2321+2324+27092+284+285+3082+3306+3479+3481+3554+3725+3791+3815+408+4208+4215+4616+4803+4804+4915+5155+5156+5159+5228+5566+5567+5600+5602+56034+5924+6196+6237+6722+7010+7040+7042+7043+7046+7048+7423+7424+775+7786+783+784+80310+8605+8912+9479	277	61	34.456219534212	1.77036253032439	3.32406276859487e-06	4.51770349004485e-05	10000;11221;1843;1845;1945;2247;2252;2255;2260;22808;2316;2318;2321;2324;27092;284;285;3082;3306;3479;3481;3554;3725;3791;3815;408;4208;4215;4616;4803;4804;4915;5155;5156;5159;5228;5566;5567;5600;5602;56034;5924;6196;6237;6722;7010;7040;7042;7043;7046;7048;7423;7424;775;7786;783;784;80310;8605;8912;9479	PRKACB;FGF10;RPS6KA2;MAPK8IP1;PLA2G4C;SRF;CACNA1H;CACNB2;TGFBR1;PGF;RASGRF2;IGF1;HSPA2;ANGPT2;ANGPT1;MAP3K3;FGF2;FLT4;AKT3;IGF2;CACNB3;KIT;PRKACA;NGF;FLNC;TGFB1;ARRB1;VEGFB;FGF7;DUSP1;PDGFRA;MRAS;KDR;PDGFRB;PDGFD;HGF;DUSP3;PDGFB;MAPK11;JUN;IL1R1;FLT1;FGFR1;TGFB2;PDGFC;NTRK2;TGFBR2;NGFR;RRAS;GADD45B;MAPK10;TGFB3;MEF2C;MAP3K12;CACNA1C;TEK;VEGFC;EFNA4;FLNA;DUSP10;CACNG4	pathway_KEGG
23	hsa04924	Renin secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04924+111+116+134+154+183+185+1909+2770+2771+2977+358+3708+3778+4881+5136+5139+5566+5567+5732+775	56	20	6.96587831738581	2.8711382956666	5.93064125142817e-06	7.70983362685662e-05	111;116;134;154;183;185;1909;2770;2771;2977;358;3708;3778;4881;5136;5139;5566;5567;5732;775	PRKACB;ITPR1;GNAI1;PDE3A;ADORA1;AQP1;ADCY5;ADRB2;PDE1A;PTGER2;PRKACA;GUCY1A2;NPR1;KCNMA1;AGT;AGTR1;EDNRA;CACNA1C;GNAI2;ADCYAP1	pathway_KEGG
