Tag	logFC	AveExpr	t	P.Value	adj.P.Val	B
BID	1.566	4.389	12.994	0	0	62.415
RIPK2	1.681	4.576	12.986	0	0	62.345
RFC3	2.03	4.542	12.979	0	0	62.277
NEK2	2.451	3.918	12.951	0	0	62.032
SLC38A7	1.227	3.685	12.95	0	0	62.017
TGIF1	1.481	4.553	12.913	0	0	61.693
TXNDC12	1.159	6.029	12.911	0	0	61.671
PUS1	1.384	3.44	12.904	0	0	61.613
PRR11	2.062	4.212	12.897	0	0	61.55
KIF20A	2.331	3.97	12.878	0	0	61.378
NUF2	2.223	3.388	12.874	0	0	61.347
SKA3	2.348	3.893	12.868	0	0	61.289
CBFB	1.531	5.088	12.867	0	0	61.281
EML4	1.53	5.217	12.854	0	0	61.169
HJURP	2.28	3.543	12.837	0	0	61.016
MTHFD2	1.779	5.065	12.801	0	0	60.694
BUB1B	2.313	3.712	12.801	0	0	60.694
ZWINT	2.231	5.186	12.774	0	0	60.452
FANCI	2.103	3.78	12.771	0	0	60.426
TRIP13	2.324	3.757	12.741	0	0	60.161
DCAF13	1.555	3.782	12.71	0	0	59.89
MELK	2.404	4.219	12.705	0	0	59.843
PNO1	1.236	4.551	12.702	0	0	59.817
CTHRC1	3.339	5.178	12.701	0	0	59.807
SGO1	1.927	2.856	12.699	0	0	59.784
CKS2	2.307	7.343	12.698	0	0	59.783
FOXM1	2.585	4.988	12.666	0	0	59.494
HNRNPA2B1	1.17	7.735	12.664	0	0	59.475
KIF14	1.984	2.475	12.652	0	0	59.368
NDC80	2.029	3.415	12.651	0	0	59.365
TNFRSF10B	1.812	5.047	12.648	0	0	59.334
VSTM2A	-0.786	0.217	-12.626	0	0	59.138
DLGAP5	2.269	3.845	12.618	0	0	59.071
KPNA2	1.975	6.526	12.604	0	0	58.949
CLEC3B	-2.741	3.138	-12.6	0	0	58.911
GTPBP4	1.474	4.471	12.596	0	0	58.875
PIGW	1.504	3.265	12.591	0	0	58.834
HMMR	2.281	3.775	12.591	0	0	58.831
CENPO	1.549	2.929	12.584	0	0	58.772
RAD51	1.777	3.226	12.582	0	0	58.755
LRFN4	2.363	4.961	12.567	0	0	58.619
CDCA8	2.268	4.802	12.564	0	0	58.59
DSCC1	1.967	3.483	12.549	0	0	58.461
SERTM1	-0.668	0.159	-12.541	0	0	58.393
PHF14	1.418	4.403	12.539	0	0	58.374
INHBA	3.038	3.893	12.538	0	0	58.367
BUD23	1.184	4.57	12.536	0	0	58.346
GGCT	1.53	5.684	12.525	0	0	58.251
EZH2	1.91	3.77	12.524	0	0	58.242
PRIM2	1.357	3.178	12.509	0	0	58.106
EIF2AK1	1.18	6.623	12.498	0	0	58.017
SRSF10	1.17	4.601	12.494	0	0	57.976
DDX18	1.197	4.856	12.49	0	0	57.94
CLN6	1.52	5.181	12.471	0	0	57.778
CCNB2	2.192	4.822	12.453	0	0	57.619
SLC12A8	1.702	3.374	12.436	0	0	57.47
GINS1	2.117	3.556	12.432	0	0	57.431
ALG3	1.481	6.042	12.429	0	0	57.402
PLK1	2.334	4.832	12.404	0	0	57.189
E2F1	2.153	4.475	12.386	0	0	57.032
CENPL	1.367	2.626	12.383	0	0	57.003
EXO1	2.051	2.902	12.365	0	0	56.844
NIFK	1.188	5.522	12.36	0	0	56.799
FAM91A1	1.653	4.989	12.354	0	0	56.746
NUDT5	1.261	4.931	12.343	0	0	56.651
KIF2C	2.24	4.247	12.335	0	0	56.584
DDX21	1.637	6.233	12.329	0	0	56.528
PRPF40A	1.142	5.177	12.329	0	0	56.528
HSP90AA1	1.517	8.983	12.328	0	0	56.519
TIMELESS	1.941	4.14	12.3	0	0	56.271
PGM2L1	1.696	3.076	12.297	0	0	56.246
ASPM	2.19	3.172	12.29	0	0	56.184
SERPINH1	1.92	6.63	12.289	0	0	56.18
CASP2	1.423	4.135	12.28	0	0	56.1
PCLAF	2.166	4.2	12.273	0	0	56.041
CIP2A	1.741	2.943	12.261	0	0	55.931
POLR1B	1.4	3.897	12.26	0	0	55.925
GNL2	1.111	4.451	12.259	0	0	55.913
C1orf131	1.165	3.317	12.257	0	0	55.897
PRRC2C	1.304	5.989	12.253	0	0	55.86
MTFR2	1.871	2.783	12.245	0	0	55.798
ZNF267	1.29	3.115	12.237	0	0	55.728
TRAF2	1.369	4.181	12.229	0	0	55.653
APMAP	1.467	6.52	12.223	0	0	55.598
CDCA5	2.26	3.935	12.205	0	0	55.449
DNAJC2	1.406	3.852	12.202	0	0	55.419
GTSE1	2.134	3.469	12.2	0	0	55.405
PRC1	2.142	4.367	12.196	0	0	55.366
KIF4A	2.235	3.625	12.196	0	0	55.364
DDX55	1.163	3.201	12.184	0	0	55.26
SMYD5	1.204	4.614	12.18	0	0	55.227
UHRF1	2.138	3.5	12.177	0	0	55.202
TTYH3	2.285	6.387	12.175	0	0	55.182
RECQL4	2.371	4.187	12.163	0	0	55.079
COLGALT1	1.496	5.776	12.161	0	0	55.066
FAM49B	1.347	4.352	12.159	0	0	55.043
GDF15	3.28	5.96	12.158	0	0	55.038
WDR75	1.264	4.506	12.158	0	0	55.037
EPCAM	2.916	8.666	12.155	0	0	55.013
NUP85	1.164	4.272	12.147	0	0	54.938
KNTC1	1.688	3.145	12.138	0	0	54.859
RFC4	1.517	3.972	12.124	0	0	54.738
VEGFD	-1.972	0.95	-12.122	0	0	54.722
HMGB3	2.062	4.644	12.115	0	0	54.664
CENPK	1.612	2.639	12.114	0	0	54.654
KIF20B	1.681	3.624	12.108	0	0	54.6
NOP56	1.503	5.833	12.105	0	0	54.577
SPAG5	2.145	3.919	12.099	0	0	54.522
SLC52A2	1.748	5.938	12.096	0	0	54.499
METTL1	1.335	3.813	12.095	0	0	54.487
KIF18A	1.926	2.767	12.081	0	0	54.368
ASF1B	2.191	4.928	12.077	0	0	54.335
NOL10	1.108	4.591	12.058	0	0	54.17
ZNF195	1.433	3.584	12.041	0	0	54.02
NUDCD1	1.574	3.813	12.04	0	0	54.011
PKMYT1	2.188	3.518	12.036	0	0	53.974
SPC25	1.91	3.579	12.031	0	0	53.935
NME1	1.761	5.218	12.01	0	0	53.75
MASTL	1.468	3.736	11.989	0	0	53.569
RAD51D	0.962	2.132	11.981	0	0	53.503
TMEM138	0.975	3.767	11.968	0	0	53.386
UTP25	1.246	3.273	11.967	0	0	53.375
HSPD1	1.76	7.567	11.964	0	0	53.353
BRIX1	1.445	4.115	11.944	0	0	53.182
SPDL1	1.448	3.159	11.94	0	0	53.148
CCT6A	1.484	6.815	11.929	0	0	53.051
ATIC	1.318	5.768	11.929	0	0	53.047
CMTM5	-0.761	0.224	-11.916	0	0	52.94
CST1	5.413	5.626	11.913	0	0	52.909
CCNB1	2.193	5.376	11.908	0	0	52.874
GORAB	1.092	2.835	11.894	0	0	52.753
ATAD5	1.487	2.513	11.89	0	0	52.715
TRIM59	1.295	2.101	11.878	0	0	52.615
CHEK1	1.629	3.133	11.856	0	0	52.419
NDC1	1.739	4.724	11.852	0	0	52.392
PSMD14	1.124	4.194	11.837	0	0	52.259
CCAR1	1.112	5.178	11.836	0	0	52.254
POLE2	1.504	2.897	11.834	0	0	52.236
KAT2A	1.487	5.257	11.827	0	0	52.169
DNMT1	1.579	4.645	11.818	0	0	52.095
MRPL17	1.093	5.566	11.803	0	0	51.965
C8orf76	1.192	3.11	11.801	0	0	51.949
SLC39A10	1.827	3.498	11.801	0	0	51.946
MEST	2.375	4.58	11.798	0	0	51.923
COL1A1	3.319	9.302	11.781	0	0	51.782
PNPT1	1.439	4.185	11.772	0	0	51.702
DEPDC1B	2.078	3.345	11.756	0	0	51.565
ESM1	2.483	2.549	11.745	0	0	51.473
MAD2L1	2.011	3.675	11.738	0	0	51.409
SNRPD1	1.535	5.043	11.733	0	0	51.364
LRRC8D	1.267	4.164	11.733	0	0	51.363
CENPA	2.058	3.449	11.723	0	0	51.28
RFWD3	1.51	4.209	11.722	0	0	51.269
MAL	-4.306	2.329	-11.721	0	0	51.264
CNPY2	1.144	4.29	11.719	0	0	51.248
BGN	2.92	8.528	11.719	0	0	51.246
SHCBP1	1.668	2.789	11.718	0	0	51.241
SCNN1B	-2.67	1.193	-11.715	0	0	51.212
CKAP2	1.935	4.623	11.701	0	0	51.096
CKAP2L	1.859	2.903	11.697	0	0	51.057
NCAPH	2.143	3.85	11.692	0	0	51.016
UCK2	1.317	4.303	11.691	0	0	51.01
PTRH2	1.124	3.567	11.689	0	0	50.986
ZNF281	1.219	3.846	11.686	0	0	50.96
FHOD1	1.265	3.598	11.683	0	0	50.94
ATP11A	2.142	4.721	11.682	0	0	50.932
XRCC2	1.724	2.348	11.679	0	0	50.908
CSTF3	1.075	4.029	11.67	0	0	50.824
POLG2	1.116	2.777	11.668	0	0	50.81
PROSER1	1.52	4.995	11.667	0	0	50.806
RRM2	2.342	5.225	11.663	0	0	50.767
ALG8	1.339	4.816	11.659	0	0	50.732
CDC45	2.05	3.503	11.651	0	0	50.669
LSG1	1.331	4.713	11.642	0	0	50.585
SLX4IP	1.294	2.776	11.637	0	0	50.543
HSPE1	1.553	6.948	11.629	0	0	50.475
AURKB	2.21	4.384	11.622	0	0	50.417
MTERF3	1.262	4.539	11.607	0	0	50.293
LIMK1	1.5	4.348	11.605	0	0	50.273
AURKA	2.334	4.822	11.602	0	0	50.246
SLC25A32	1.234	4.605	11.598	0	0	50.209
TCOF1	1.352	4.383	11.593	0	0	50.17
CGAS	1.69	3.418	11.592	0	0	50.165
PAM16	1.024	3.04	11.585	0	0	50.103
ACTL6A	1.421	5.205	11.581	0	0	50.065
SLC5A6	1.763	4.55	11.579	0	0	50.054
PUS7	1.751	3.813	11.57	0	0	49.977
PPAT	1.559	3.244	11.564	0	0	49.926
SRSF2	1.12	6.625	11.563	0	0	49.919
PLOD3	1.838	5.841	11.549	0	0	49.798
TRMT6	1.402	3.933	11.544	0	0	49.754
TARDBP	1.023	5.095	11.543	0	0	49.747
QTRT2	1.236	3.089	11.54	0	0	49.722
CSPP1	1.246	3.144	11.539	0	0	49.714
TSN	1.174	5.493	11.535	0	0	49.681
AVL9	1.258	3.859	11.535	0	0	49.676
NAA25	1.235	3.301	11.532	0	0	49.652
CENPE	1.904	2.914	11.525	0	0	49.59
GARS	1.232	6.474	11.524	0	0	49.582
SLC30A7	1.256	4.423	11.523	0	0	49.573
DSN1	1.516	4.356	11.52	0	0	49.552
FANCF	1.228	3.692	11.517	0	0	49.526
PCNA	1.776	7.747	11.515	0	0	49.51
PARPBP	1.642	2.838	11.511	0	0	49.471
TWISTNB	1.169	4.443	11.508	0	0	49.445
FANCD2	1.658	2.753	11.504	0	0	49.41
NCAPG	2.058	3.414	11.503	0	0	49.402
KIFC1	2.151	4.299	11.489	0	0	49.283
DPH2	1.263	4.722	11.487	0	0	49.271
BOP1	1.692	5.565	11.48	0	0	49.21
XPO1	1.366	5.36	11.479	0	0	49.198
ZNF367	1.697	3.421	11.476	0	0	49.173
DDX56	1.08	5.469	11.473	0	0	49.15
TACC3	1.871	4.426	11.472	0	0	49.145
PSMD11	1.173	5.563	11.462	0	0	49.059
PLK4	1.737	3.032	11.462	0	0	49.059
CDC20	2.415	5.777	11.458	0	0	49.026
DONSON	1.341	3.522	11.454	0	0	48.993
ORC6	1.682	2.533	11.43	0	0	48.79
ANP32E	1.484	5.542	11.427	0	0	48.76
PAICS	1.564	5.38	11.421	0	0	48.712
FEN1	1.639	5.144	11.418	0	0	48.689
MRTO4	1.257	5.148	11.412	0	0	48.632
RCC1	1.782	4.911	11.411	0	0	48.624
SNRPA1	1.219	4.445	11.406	0	0	48.584
DCBLD1	1.415	3.304	11.39	0	0	48.452
MCM4	1.936	5.256	11.388	0	0	48.429
PSMD1	1.1	6.325	11.383	0	0	48.391
UTP6	1.118	3.923	11.374	0	0	48.316
BRCA2	1.56	2.271	11.372	0	0	48.295
SNRPG	1.201	5.865	11.364	0	0	48.232
CLDN1	3.237	5.328	11.357	0	0	48.174
DHX34	1.451	4.141	11.348	0	0	48.096
CDC7	1.701	2.966	11.342	0	0	48.047
CSE1L	1.627	6.57	11.339	0	0	48.022
JRKL	1.274	3.34	11.335	0	0	47.987
BLM	1.685	2.557	11.329	0	0	47.937
MRPL3	1.113	6.588	11.322	0	0	47.872
CDCA2	2.095	3.121	11.319	0	0	47.853
SINHCAF	1.761	4.896	11.313	0	0	47.799
CCN5	-1.725	0.877	-11.311	0	0	47.781
MCM10	1.879	2.523	11.31	0	0	47.77
NIT2	0.914	3.406	11.3	0	0	47.688
SAPCD2	2.459	4.766	11.298	0	0	47.677
HNRNPM	0.986	6.295	11.296	0	0	47.654
STK3	1.153	2.785	11.295	0	0	47.645
PDCD11	1.436	4.363	11.289	0	0	47.597
NAT10	1.369	5.013	11.287	0	0	47.578
DPT	-3.48	3.139	-11.287	0	0	47.577
SNX10	2.006	3.87	11.286	0	0	47.575
THOC2	1.278	4.613	11.283	0	0	47.543
LMNB1	2.064	5.213	11.279	0	0	47.514
RUVBL1	1.317	3.899	11.278	0	0	47.507
EFTUD2	1.26	4.703	11.269	0	0	47.427
ABCE1	1.41	5.033	11.266	0	0	47.409
POC5	0.982	2.939	11.263	0	0	47.38
EME1	1.504	1.973	11.262	0	0	47.371
MTDH	1.119	6.614	11.262	0	0	47.371
TIMM8A	1.149	3.103	11.262	0	0	47.37
TMEM267	1.235	3.825	11.258	0	0	47.34
TMPO	1.514	5.225	11.256	0	0	47.318
BMP1	1.573	4.067	11.247	0	0	47.243
APOC1	3.209	5.578	11.24	0	0	47.186
TOMM34	1.61	6.047	11.237	0	0	47.159
PTBP1	1.18	7.156	11.233	0	0	47.124
NUP62	1.17	5.093	11.232	0	0	47.117
ENTR1	1.212	4.738	11.23	0	0	47.106
CNOT9	1.048	4.724	11.225	0	0	47.063
CAD	1.629	4.762	11.222	0	0	47.034
C1orf112	1.329	2.266	11.216	0	0	46.988
ATP13A3	1.548	5.03	11.216	0	0	46.981
ABHD11	1.77	5.67	11.215	0	0	46.981
SLC20A1	1.42	4.56	11.213	0	0	46.964
TFAP4	1.211	2.891	11.211	0	0	46.944
NCBP2	1.192	4.884	11.211	0	0	46.942
CCNF	1.813	3.441	11.204	0	0	46.881
BIRC5	2.166	4.301	11.194	0	0	46.797
CASP8	1.233	4.073	11.193	0	0	46.795
CCNA2	2.188	5.023	11.19	0	0	46.766
TTK	2.104	3.347	11.19	0	0	46.764
SUV39H2	1.328	3.324	11.189	0	0	46.76
AQP4	-1.171	0.263	-11.186	0	0	46.731
YDJC	1.618	5.577	11.182	0	0	46.7
KNSTRN	1.544	3.711	11.179	0	0	46.672
DNA2	1.71	2.597	11.176	0	0	46.648
DDX31	1.211	3.061	11.174	0	0	46.634
MRM2	1.088	4.596	11.154	0	0	46.463
WDHD1	1.492	2.714	11.151	0	0	46.44
ODF2	1.248	4.077	11.149	0	0	46.422
NKRF	1.235	3.083	11.148	0	0	46.413
FIGNL1	1.448	3.207	11.147	0	0	46.404
UBAP2	1.155	4.384	11.146	0	0	46.403
OTX1	1.741	2.196	11.145	0	0	46.389
TYMS	1.915	5.075	11.137	0	0	46.328
TPM3	1.24	6.88	11.133	0	0	46.289
KIF15	1.82	2.816	11.128	0	0	46.249
FANCA	1.728	2.82	11.12	0	0	46.182
TBC1D31	1.225	2.107	11.117	0	0	46.159
CCDC43	0.995	4.389	11.112	0	0	46.117
PBK	2.379	4.392	11.111	0	0	46.107
MGME1	1.399	4.717	11.108	0	0	46.079
NASP	1.252	4.537	11.107	0	0	46.071
DDX10	1.118	3.252	11.104	0	0	46.046
RRP12	1.404	3.7	11.101	0	0	46.027
MCM2	1.976	4.916	11.101	0	0	46.026
TWNK	1.527	3.537	11.1	0	0	46.013
GRIN2D	3.026	4.11	11.099	0	0	46.006
SNRPE	1.202	6.347	11.096	0	0	45.986
COA7	1.219	3.944	11.093	0	0	45.958
CDKN3	1.94	4.266	11.093	0	0	45.957
QSOX2	1.54	4.005	11.092	0	0	45.945
PAFAH1B3	1.667	5.61	11.088	0	0	45.915
MTPAP	1.067	3.127	11.086	0	0	45.898
GEN1	1.347	2.39	11.085	0	0	45.893
ADH7	-2.564	0.631	-11.085	0	0	45.892
POLR1C	1.337	4.757	11.083	0	0	45.871
SCARA5	-2.695	1.816	-11.079	0	0	45.84
WDR62	1.662	2.36	11.078	0	0	45.832
ALG6	1.059	3.247	11.075	0	0	45.81
TTC9C	0.88	4.112	11.074	0	0	45.801
TAF1D	1.348	4.259	11.071	0	0	45.775
ZNF121	1.343	3.913	11.071	0	0	45.775
AGRN	2.059	6.282	11.071	0	0	45.774
SKA1	1.885	3.038	11.067	0	0	45.745
G3BP1	1.076	5.248	11.066	0	0	45.736
HSP90AB1	1.427	10.06	11.055	0	0	45.643
ZDHHC9	1.502	5.773	11.055	0	0	45.643
SCAMP3	0.98	6.454	11.055	0	0	45.641
EMG1	0.925	2.997	11.051	0	0	45.61
SRPK1	1.364	5.234	11.048	0	0	45.579
MESD	0.902	4.355	11.04	0	0	45.515
MZT1	1.488	4.863	11.033	0	0	45.458
LSM5	1.126	4.36	11.029	0	0	45.425
ZMIZ2	1.295	5.7	11.029	0	0	45.421
CMTM6	1.151	5.835	11.026	0	0	45.398
SART3	0.99	4.31	11.021	0	0	45.358
TARBP1	1.497	3.734	11.013	0	0	45.288
BUB3	1.214	5.053	10.988	0	0	45.088
FANCL	1.168	3.915	10.988	0	0	45.086
HGH1	1.541	5.306	10.987	0	0	45.073
MCM3	1.554	6.291	10.981	0	0	45.027
PNN	1.182	5.616	10.971	0	0	44.944
RPP25	1.673	4.907	10.971	0	0	44.942
CDK5RAP1	1.107	3.76	10.967	0	0	44.91
CLDN7	2.548	7.087	10.959	0	0	44.846
VAV2	1.646	4.895	10.958	0	0	44.836
SRSF1	1.106	6.667	10.956	0	0	44.818
DUSP12	0.997	4.357	10.953	0	0	44.796
CENPI	1.476	2.196	10.95	0	0	44.773
TUBB	1.174	8.938	10.948	0	0	44.752
UBAP2L	1.11	6.041	10.944	0	0	44.722
SGO2	1.571	2.604	10.94	0	0	44.689
TEDC2	1.583	2.391	10.938	0	0	44.668
DHX37	1.282	3.823	10.937	0	0	44.661
BMS1	1.177	4.197	10.935	0	0	44.645
COX19	1.172	3.327	10.934	0	0	44.636
PTPN2	1.05	3.791	10.932	0	0	44.622
URB2	1.475	3.267	10.932	0	0	44.617
CKS1B	1.561	4.932	10.928	0	0	44.589
FAM180B	-1	0.345	-10.923	0	0	44.546
NR2C1	1.101	3.362	10.923	0	0	44.546
MPLKIP	0.936	3.238	10.922	0	0	44.538
DCLRE1B	1.202	3.217	10.918	0	0	44.507
CENPN	1.5	3.673	10.908	0	0	44.424
NOL11	1.147	4.615	10.907	0	0	44.416
NCAPG2	1.675	3.522	10.906	0	0	44.407
TGS1	1.254	4.391	10.9	0	0	44.356
VMP1	1.301	6.064	10.899	0	0	44.351
DDX39A	1.343	5.461	10.899	0	0	44.347
ZNF485	1.148	2.256	10.897	0	0	44.327
C1QTNF6	1.736	2.742	10.892	0	0	44.286
LIG1	1.542	3.812	10.884	0	0	44.224
BYSL	1.497	4.401	10.879	0	0	44.182
FUCA2	1.243	6.177	10.878	0	0	44.174
MTBP	1.254	1.739	10.875	0	0	44.15
LMNB2	1.671	5.618	10.872	0	0	44.122
ARPC5	0.978	5.382	10.87	0	0	44.107
CHAF1A	1.407	3.971	10.866	0	0	44.073
CKAP5	1.462	5.403	10.865	0	0	44.064
TIPIN	1.169	2.954	10.865	0	0	44.063
INTS8	1.297	4.005	10.859	0	0	44.02
IPO4	0.95	1.761	10.858	0	0	44.013
SSB	1.23	5.179	10.855	0	0	43.988
CHTF18	1.597	3.093	10.853	0	0	43.972
INTS7	1.253	3.999	10.853	0	0	43.966
CDC123	1.106	5.914	10.849	0	0	43.939
FLAD1	1.043	4.763	10.847	0	0	43.918
SASS6	1.279	2.933	10.845	0	0	43.901
RSRC1	1.007	3.814	10.844	0	0	43.897
DPY19L1	1.653	4.482	10.844	0	0	43.895
ORC2	1.041	3.811	10.843	0	0	43.884
MPHOSPH10	0.912	4.22	10.839	0	0	43.852
CPSF3	1.051	4.733	10.837	0	0	43.839
SH3KBP1	1.509	4.976	10.829	0	0	43.775
NUP37	1.18	3.904	10.828	0	0	43.759
TOPBP1	1.496	4.466	10.822	0	0	43.714
ZNF124	1.089	2.261	10.821	0	0	43.708
TCERG1	1.07	4.254	10.821	0	0	43.707
MSH2	1.496	4.115	10.818	0	0	43.683
CENPU	1.838	3.73	10.818	0	0	43.676
TYW1	1.034	4.101	10.816	0	0	43.664
ENOPH1	1.143	5.684	10.815	0	0	43.658
UTP14A	1.17	4.24	10.812	0	0	43.631
TONSL	1.795	3.897	10.807	0	0	43.587
YTHDF1	1.229	6.012	10.793	0	0	43.474
ILDR1	1.97	3.154	10.792	0	0	43.464
F2R	1.956	5.436	10.789	0	0	43.441
HASPIN	1.732	2.735	10.786	0	0	43.421
CHEK2	1.346	2.895	10.785	0	0	43.412
FAM111A	1.304	3.902	10.783	0	0	43.393
TREM2	2.656	3.872	10.781	0	0	43.376
PSMD12	1.005	4.703	10.779	0	0	43.362
PAK1IP1	1.268	4.771	10.775	0	0	43.328
TBRG4	1.211	4.889	10.765	0	0	43.246
TMEM63A	1.599	5.135	10.765	0	0	43.242
MRGBP	1.399	4.377	10.761	0	0	43.216
RP9	1.062	4.165	10.752	0	0	43.138
TTI1	1.333	4.5	10.75	0	0	43.119
POU2F1	1.221	3.439	10.746	0	0	43.093
RXRG	-1.048	0.432	-10.744	0	0	43.072
NCL	1.174	7.314	10.739	0	0	43.036
MFSD12	1.337	5.08	10.738	0	0	43.025
IPO9	1.147	4.578	10.731	0	0	42.967
PARP14	1.71	4.951	10.729	0	0	42.948
IL17RB	2.107	4.054	10.725	0	0	42.916
KRT18	2.517	9.038	10.723	0	0	42.899
ZBTB33	1.244	4.331	10.723	0	0	42.898
MCM8	1.515	3.31	10.719	0	0	42.869
DDX11	1.495	3.177	10.716	0	0	42.841
P3H1	1.342	3.767	10.712	0	0	42.809
TGDS	1.135	4.112	10.712	0	0	42.808
SLC29A2	1.822	4.848	10.71	0	0	42.793
LACTB	1.005	3.715	10.709	0	0	42.788
NIP7	1.135	4.508	10.708	0	0	42.775
WDR46	1.056	5	10.707	0	0	42.77
NELFCD	1.401	5.282	10.706	0	0	42.763
ATP6V1C1	1.205	4.878	10.705	0	0	42.751
JPT2	1.212	5.721	10.704	0	0	42.744
DNAAF5	1.23	4.523	10.703	0	0	42.738
PPIL1	1.24	5.682	10.702	0	0	42.732
RMI2	1.65	3.829	10.701	0	0	42.722
PALB2	1.187	3.405	10.699	0	0	42.701
VMA21	1.328	4.731	10.696	0	0	42.683
SDS	2.287	3.128	10.696	0	0	42.68
PLA2G7	2.427	3.753	10.696	0	0	42.678
BLOC1S3	0.976	4.165	10.694	0	0	42.663
ESF1	1.449	4.677	10.691	0	0	42.641
KIF22	1.38	4.812	10.678	0	0	42.533
TTC13	1.202	3.838	10.67	0	0	42.463
SMG9	1.01	3.462	10.655	0	0	42.344
NHLRC3	1.076	3.606	10.655	0	0	42.342
UBXN4	1	6.414	10.647	0	0	42.283
LYAR	1.389	4.768	10.645	0	0	42.262
DTX3L	1.46	5.703	10.644	0	0	42.254
WDR4	1.307	3.638	10.643	0	0	42.249
C17orf53	1.518	2.678	10.642	0	0	42.241
FAM136A	1.112	5.468	10.642	0	0	42.238
CLK2	1.062	4.793	10.641	0	0	42.228
TFB2M	1.198	4.637	10.639	0	0	42.21
DEPDC1	1.873	2.974	10.634	0	0	42.175
TMEM60	0.987	5.071	10.632	0	0	42.155
PPM1G	1.09	6.218	10.631	0	0	42.152
NUP107	1.437	3.625	10.63	0	0	42.142
DENR	1.017	5.57	10.629	0	0	42.133
DDIAS	1.667	2.403	10.627	0	0	42.114
SET	1.109	7.359	10.625	0	0	42.097
STMN1	1.582	5.5	10.62	0	0	42.063
PRR7	1.872	4.259	10.606	0	0	41.941
POP1	1.315	2.615	10.599	0	0	41.887
KBTBD2	1.055	4.629	10.595	0	0	41.857
ZNF146	1.196	5.69	10.594	0	0	41.85
ADAT1	1.159	3.81	10.594	0	0	41.847
RBL1	1.463	3.247	10.59	0	0	41.815
NPRL3	1.021	4.445	10.587	0	0	41.788
MIS18BP1	1.182	3.629	10.586	0	0	41.78
CTPS1	1.35	3.87	10.585	0	0	41.771
ARPC1B	1.569	6.893	10.583	0	0	41.761
CDC25C	1.622	2.674	10.579	0	0	41.722
KNL1	1.767	2.867	10.576	0	0	41.698
RRP9	1.301	4.987	10.575	0	0	41.69
HEATR1	1.552	4.075	10.574	0	0	41.687
ETV4	2.774	4.462	10.573	0	0	41.68
EBNA1BP2	1.064	5.428	10.572	0	0	41.671
PODXL	1.733	5.188	10.572	0	0	41.666
NR2C2AP	1.084	4.405	10.567	0	0	41.624
RAD54L	1.748	2.827	10.566	0	0	41.616
CWH43	-1.732	0.452	-10.559	0	0	41.561
TAF1A	1.142	2.594	10.552	0	0	41.507
NUP43	1.165	4.412	10.551	0	0	41.499
COL4A1	2.101	7.232	10.55	0	0	41.486
RIF1	1.214	3.492	10.548	0	0	41.471
LIF	2.258	3.744	10.544	0	0	41.444
